Date,Tm,Opp,Result,MP,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG.1_AVG,FGA.1_AVG,FG%.1_AVG,2P.1_AVG,2PA.1_AVG,2P%.1_AVG,3P.1_AVG,3PA.1_AVG,3P%.1_AVG,FT.1_AVG,FTA.1_AVG,FT%.1_AVG,PTS.1_AVG,FG_players_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,3P%_players_AVG,FT_players_AVG,FTA_players_AVG,FT%_players_AVG,ORB_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PF_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,eFG%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,DRB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG
27/03/2021,CLE,SAC,L 98-100,240,43.1,90.5,0.4778,32.6,60.6,0.5401,10.5,29.9,0.3474,18,22.2,0.8252,114.7,44.4,90.1,0.4935,33.2,58.3,0.5719,11.2,31.8,0.3522,16.9,21.8,0.7627,116.9,5.12875,10.69572917,0.471784854,1.272881944,3.518888889,0.277069243,2.202756944,2.672972222,0.50898366,1.116027778,3.938965278,5.054993056,2.732902778,0.791006944,0.377576389,1.321111111,2.004180556,13.73313889,-1.137055556,0.561463181,0.529721083,0.328707146,0.226625049,4.639676389,15.61496944,10.06665972,13.87596458,1.377927778,1.140952083,9.706213889,19.99990139,115.5385486,118.6705278,-0.6311,2.279096848,22.68961806
27/03/2021,SAC,CLE,W 100-98,240,41,86.2,0.4763,31.5,57.1,0.5509,9.5,29.1,0.3282,17.2,21.4,0.8014,108.7,37.5,84.6,0.4452,28.5,56.6,0.5058,9,28,0.318,17,22.6,0.7573,101,4.999034722,10.3528125,0.457341611,1.191375,3.621027778,0.226967438,2.048548611,2.575666667,0.527922118,1.298458333,3.832263889,5.130722222,2.800868056,1.068041667,0.6458125,1.651,2.220381944,13.23799306,4.937340278,0.545076312,0.509705444,0.356901986,0.28844584,5.630670139,15.18078194,10.43090347,14.30569583,1.858580556,2.007231944,13.39583889,20.00037431,112.8241875,105.2065139,0.251538194,1.764293067,22.8834375
27/03/2021,CHI,SAS,L 104-120,240,40.8,87.4,0.4648,28.9,54.5,0.5299,11.9,32.9,0.3617,15.1,19.7,0.7794,108.6,39.4,85.8,0.4592,30.3,59.6,0.5094,9.1,26.2,0.3465,15.5,19.6,0.7883,103.4,4.786006944,10.24200694,0.472973271,1.386381944,3.763909722,0.331000826,1.858222222,2.342625,0.456870451,1.134631944,4.278583333,5.413215278,2.862930556,0.686631944,0.459527778,1.380069444,1.864236111,12.81661806,3.3494375,0.570402708,0.545416063,0.405615979,0.245608389,4.850368056,16.42074722,10.75100417,15.36637708,1.292277083,1.440840278,10.08151389,19.99906806,116.3940278,108.0013681,0.428940972,2.264043905,22.23892361
27/03/2021,SAS,CHI,W 120-104,240,41.7,89.2,0.4667,31.6,57.9,0.5439,10.1,31.3,0.3181,16,21.4,0.7625,109.5,41.3,90,0.4593,29.2,57.5,0.507,12.1,32.5,0.3749,13.2,15.8,0.8554,107.9,5.013694444,10.61038889,0.461454146,1.217041667,3.674979167,0.259650944,2.067986111,2.738180556,0.526603194,1.070916667,3.808743056,4.879659722,2.918402778,1.035152778,0.713354167,1.426944444,1.945055556,13.31241667,0.775875,0.55739441,0.522349007,0.388626424,0.306423042,4.147959028,14.97433819,9.524578472,15.15164861,1.831963889,2.296354861,10.35525903,20.20884792,113.4330069,111.3593194,0.192388889,2.142660124,22.85898611
27/03/2021,MEM,UTA,L 110-126,240,44.4,94.3,0.4749,34.1,65.2,0.5213,10.3,29.1,0.3746,14.8,19,0.7755,113.9,41.7,90.6,0.4608,24.8,48,0.5214,16.9,42.6,0.3947,18.6,23.1,0.814,118.9,5.717833333,11.87331944,0.461089986,1.3260625,3.605541667,0.272503181,1.905652778,2.419826389,0.471427972,1.215104167,4.191111111,5.406215278,3.198798611,0.974020833,0.405472222,1.407569444,2.164173611,14.66738194,-1.2775625,0.543968,0.515790813,0.318794521,0.208886493,4.44624375,15.36163194,9.850010417,14.70414653,1.552336806,1.536179861,10.40645,20.21145764,112.7369792,120.2895069,0.4575375,2.485708887,24.65188889
27/03/2021,UTA,MEM,W 126-110,240,41,89.6,0.4609,28.3,54.3,0.5232,12.7,35.3,0.3627,17.2,21.9,0.7739,111.9,42.7,93.5,0.4548,33,64.4,0.5082,9.7,29.1,0.3352,16.4,21.5,0.7803,111.5,4.961555556,10.68390972,0.465119681,1.4913125,4.075513889,0.317672111,2.099277778,2.683826389,0.537224757,0.929680556,4.258493056,5.188173611,3.060013889,0.947951389,0.578666667,1.470743056,1.944798611,13.51370139,0.491104167,0.569942479,0.537135264,0.398834243,0.282436618,3.578095833,15.40540208,9.740380556,16.33242292,1.559950694,1.644990278,11.63749236,20.20825556,112.1231736,111.0746597,0.069341667,2.322041488,23.28850694
27/03/2021,DET,WAS,L 92-106,240,44.2,92.8,0.4764,31.9,60.8,0.5222,12.3,32,0.3871,21.5,26.9,0.8148,122.2,41.5,86.4,0.4818,32,59,0.5414,9.5,27.4,0.3445,21.9,29,0.7559,114.4,5.314020833,11.18340278,0.473637472,1.489680556,3.840743056,0.294232056,2.781479167,3.454520833,0.598065597,1.296,4.179159722,5.475159722,3.016076389,1.01725,0.581215278,1.595527778,2.668243056,14.89920139,4.8424375,0.581855931,0.540851007,0.343285167,0.329479903,5.027460417,16.56571181,10.72168958,14.46468681,1.639086111,1.762026389,11.72512292,20.00184514,118.0878056,109.7766389,0.858305556,2.006218094,24.98890278
27/03/2021,WAS,DET,W 106-92,240,39.6,84.8,0.4678,28.4,53.6,0.5307,11.2,31.2,0.3617,17,21.2,0.7893,107.4,38.4,82.6,0.465,26.8,50.4,0.5352,11.6,32.2,0.3538,18.2,24.6,0.7358,106.6,4.759756944,10.0219375,0.462849847,1.278381944,3.636701389,0.285882542,2.207,2.704055556,0.500222347,1.063590278,3.703,4.766590278,2.868131944,0.834347222,0.676854167,1.535208333,2.173833333,13.00489583,1.092722222,0.561330181,0.527924535,0.362157986,0.251198986,4.652863889,15.31518056,9.864365278,15.25176806,1.434545833,2.260793056,11.09519653,19.99889861,113.4575,112.9456528,-0.194185417,1.967402648,22.15081944
26/03/2021,CHO,MIA,W 110-105,240,38.7,88.8,0.436,24.6,49.2,0.5015,14.1,39.6,0.3576,13.6,16.9,0.8223,105.1,38.8,86.6,0.4504,27.1,50,0.5466,11.7,36.6,0.3228,16,19.4,0.8322,105.3,4.624520833,10.43372917,0.43898834,1.729118056,4.664236111,0.280490549,1.663416667,2.037638889,0.508230097,1.266847222,3.974006944,5.240854167,3.194305556,0.652826389,0.568340278,1.670263889,1.988104167,12.64157639,0.0876875,0.549885882,0.518936069,0.449084507,0.21879391,4.942272222,16.02945903,10.32547778,18.12600069,1.168399306,2.064845833,12.20742778,20.20434444,110.796,112.1444444,-0.317507639,2.20120559,22.29790278
26/03/2021,MIA,CHO,L 105-110,240,41.8,88.1,0.4756,27.8,47.4,0.583,14,40.7,0.341,13.5,17.2,0.7747,111.1,39.7,85.5,0.4634,25.4,49.5,0.5141,14.3,36,0.3949,17.9,23.4,0.759,111.6,4.761493056,9.853993056,0.484323681,1.580256944,4.534048611,0.279303792,1.607104167,2.008201389,0.480161181,0.901125,3.806208333,4.707333333,2.928791667,0.947743056,0.533736111,1.418444444,1.983319444,12.71034722,0.017319444,0.58751866,0.562957847,0.452765271,0.197999715,4.202286806,15.56539375,10.02987361,15.98545903,1.720654861,1.932197917,11.64329444,19.99472153,115.7940208,113.4646042,-0.310298611,2.31202784,21.82795139
