,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2P%_AVG,3P_AVG,3PA_AVG,FT_AVG,PTS_AVG,FG.1_AVG,FG%.1_AVG,2P%.1_AVG,3P.1_AVG,3P%.1_AVG,FT%.1_AVG,PTS.1_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,FT_players_AVG,FT%_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG,y
156,1.1925518308194547,0.11901926423399453,1.192983975150524,-0.7552450893037491,0.3924492824413588,2.7286381936348594,1.4191902731411679,-0.5853959710495692,1.5655314802762563,0.5916843783870214,0.13007499944205622,0.08149953192649345,-0.11814571608496993,0.47642068787232994,-0.7129185492764446,1.2329694589855091,0.10589522397450563,1.5641661641592393,2.503782830843224,1.3076850891084397,-0.8362101934002059,-2.0067161740988415,-0.8589792089657664,-0.9768316229977556,1.5778483140258563,-1.176197781452905,0.5443627409938603,-0.7689656133051747,0.9511734895121688,0.2816148440227164,1.9794163999281382,1.2955757319134684,-0.9102854863179931,-0.22376562374993986,-1.2391241214180673,1.1069503525396107,-0.9802127105856915,0.4350132924217291,-0.6016586470952032,-0.6012352393875711,1.8952101246889856,1.3260498730685544,1.0337166141263425,1.2061234377909362,0.6130286550085267,1
1134,-0.3544148759288295,0.007227802400894383,-0.3682620432895986,-1.1729598875038292,0.4459003912037374,1.3189104268797027,1.8299387127704112,0.16382099503874586,0.19738441156794614,-1.0710917970510834,-1.2033198830411052,-2.061926316180916,-1.4818506941042335,-0.3818594444697,0.04484191665291509,-1.1934644908253664,-0.01467792535278842,-0.3391899494329358,1.1023463376352758,1.6054315775659078,0.19429192787450977,1.0609072920693103,1.3947139090056544,0.9286435072400132,0.15734654447524385,1.1024648355972977,0.5504351062396128,1.6865995224895634,0.3187256010600315,1.4321589167283237,0.4546898067279064,2.4454293083277148,-0.7396101060347161,-0.623077764188783,0.8175305253596602,0.9399961082624648,1.1709861730337512,-0.6256902843041569,1.7657594151425609,0.18858901318321544,-0.6321108534042803,-2.0644361123827757,-0.05131263201981484,-1.2249258162984444,0.6710004194292608,1
14,0.8487814515420583,2.1089072848631782,-0.607159602145739,1.3631656729966606,0.2668391768497688,-0.9548440356286144,0.2734183099648559,-1.5443936876426125,-0.32992227116338174,0.11660547111899422,-0.3286920517093263,0.02576032547452527,-0.25451621388689577,-0.6560322645234016,0.6399928405373462,0.4331951403327619,1.427346456317726,-0.7092137978414912,-1.0028807329436307,-0.0005726437533612482,-1.4258599519535564,-1.0423215903763856,0.8210741912125906,0.2912132437647567,0.5177206960180711,1.5554971090634326,-0.17746295820534577,-0.02736145424545022,-0.2119430052867942,-0.8809527802513293,-1.1949789347035085,-0.7962418305920975,-1.9897412260389842,-1.5550750489237688,-0.525737259042834,-0.2575980153138407,1.6073633310524944,-0.4331792219383481,-0.05444286169287095,0.19659545455980615,-1.7743043887785948,-0.7851970524436503,-0.26055578926790907,0.4287292949764137,0.19483005807911827,1
739,-0.8013163689894438,0.007227802400894383,-0.8225038805512741,0.05034773579640699,-0.18749524763044728,-1.13674439262928,-0.33189518001508145,0.5534138174046689,-0.7574682301347284,-0.25667081316302987,-1.1802165063644132,0.0561635289937818,-0.18633096498593343,-1.6263656363656434,0.9310639207977671,-0.12258023364626447,-0.6255158665558621,-0.7024232322706474,-1.4191395301500875,-0.7977611434965269,0.26108113708675396,0.10492933036764986,0.07588608414489477,0.09794636268415047,0.24657460480357773,0.1321329019843081,0.9800880637243372,0.5440410392716142,-1.0806766019309049,-0.7442554032071808,-0.6604872820493899,-0.3591597882217689,0.7706440977686034,0.005905091480147726,-0.3367535119324514,1.108646618889973,0.8207170666028659,1.6510021660438403,0.872752511523367,-0.5988985712585336,-1.2464640090423293,-0.7275604930305829,-0.27382950464266254,-0.30468056896664786,-0.5307591133766685,0
594,0.4362569964091839,-0.4846546296647468,0.8901560836427436,0.13985804969642446,1.6699307818622093,0.3639335526262097,0.6409300717383903,-0.7352393642672322,0.1261267517393904,1.915118477205107,1.4502679523956876,-0.7495213642664518,-1.311387571851826,0.9723158754477226,-0.8560149462759804,0.7043050788591186,-0.19813517288549629,0.3159523486801269,0.22875277659481633,0.5641633414785259,-0.28351858468614644,-0.28020531828676126,-1.5166798309218088,-1.8957874954367204,0.8845347566699204,-0.5759787902476016,0.29474027077384735,-0.3064742517663546,0.3786545766465032,-0.24752097989090321,0.4483720798216086,0.7014943227373257,-0.8001517617598584,-1.4008980051619284,-2.7218873843574842,0.7316005958670098,-1.0938897131336442,-2.5126975827604277,-0.8293870019683178,0.20199222867951325,0.7208791538062789,1.3410761998310623,-1.0175266084906744,0.5798605414542723,-0.13685531799217032,1
488,-1.4201030516887592,-0.8423873075306691,-1.0344834046067226,0.020510964496401888,0.14390162669629789,-1.9098209098821075,-0.7426436196443247,-1.0349261507025582,-2.268130618500152,-1.3425654583470996,-1.206620365423489,-0.511362936698962,-0.04996046718400695,-0.787158395853434,-1.3080694731608757,-1.2341309816043193,-0.49793418552167573,-1.2246288943435288,-1.7800963942083454,-0.5639758653886113,-1.1696427216846288,-0.35313100146180515,0.7688146406509344,0.8330724270384221,-1.056743216791625,-1.089376349220952,-1.1388633160275659,0.1987972229692739,-1.858765468359156,-0.9907548016318657,-1.7181186928685495,-0.20524206595194944,0.2886432526033226,1.0456975136784121,0.844982730089562,-0.6826578783752639,-0.8486062713272071,-0.44707256785427435,0.5772239819957475,0.24296611549146413,-1.5996478526628188,-0.17925786451199802,-0.13218731718235044,-0.812107929576135,-1.4256297611239033,1
687,-0.7669393310617036,0.05194438713413509,-1.0243891415564632,0.020510964496400816,0.42184739226066703,-1.0457942141289471,0.23018163210914694,-0.07592843410951514,-0.9997442735518253,-1.1050260047130835,-0.9656851515094487,-1.2891782267332101,0.904633017429478,0.3166852187975608,1.0546471727519116,0.3111956679959035,-1.1367537231529374,-1.833942627644879,-1.5035150192943159,-0.6235136714881079,-0.6398729444224842,0.37108280367006413,0.33785902548507923,-0.24016030417128784,-2.314013851923792,-2.020609369213408,-0.3178264492507847,-1.5005526327871874,-1.6546681446851572,-1.2328346465553466,-1.8369610808288697,0.5268450174053698,-0.3239012391350395,-1.5956852623589652,-0.5920833302535371,-1.2695048483945441,-1.5506911538862826,0.24875549844492728,-1.3353186197504092,-2.2688562492299322,-1.243311238420794,-0.22501356771663086,-0.8869482984248195,-0.24742517218560064,-1.8851176862396397,0
32,2.3613711203626027,0.8792012046990735,2.0207135452717995,2.437289439796867,1.9665844354934132,-0.5910433216272833,-0.8939719921393099,0.643319853335268,2.0785866310418717,1.8472500618811019,1.26544093898218,1.2874932715235634,-0.7659055806441203,-0.21735575243747762,-1.9471249733974403,0.9889705143117904,0.5822217984970496,2.1376859740794707,-0.3372970253793502,-0.7325016387011409,0.6179645838931208,0.6999404544067087,0.8296321981978292,0.3899852009927301,0.6973680119382476,0.317755170469319,-0.2276146180959571,-0.4178952739321197,1.5920321339299839,1.025056441044197,1.802144714503538,-1.3893071379110573,-0.6814444675849364,0.21785218314927457,1.376086028789845,-0.7992879690741708,0.004910850492440856,-0.770190919419636,-0.45185281455991083,0.23720903755521527,2.3202244440098494,0.16113978751405503,0.8087055707335744,0.7921359957383716,1.3218445214811745,0
917,1.4331910963136332,2.086548992496556,0.10280356572250264,0.9752876460965858,-0.16878735956361207,0.4094086418763759,0.424746682459841,-1.664268402216743,0.5251696467793115,0.1844738864429971,-0.22637709785542015,-0.21746530267950412,0.0864100306179201,-0.19113052617146875,-0.23972478192570548,0.10786321410113743,0.5301045650898005,0.4624358684751923,-0.18377618648150204,-0.4386615321219289,-2.0084759887424837,-0.6876414809746139,0.22625044963813798,0.5352250949057953,1.723341795585399,-0.27801544551422436,0.03904543530808186,-1.9024481653623588,-0.3933102896906635,0.3749939608697081,0.03163840639576197,-0.38538499298219736,-0.8671916430250599,0.46846686595492315,0.5422959347931882,1.8218349903966309,-0.1671377736989161,0.1716646482231104,-1.5746615370657482,0.2097065275768957,0.46072809662031117,-0.16372502399376476,0.40458103707122034,2.624146145998009,0.2348552616911929,1
970,0.058109579204047294,-2.966425082359572,2.215869297576819,0.9454508747965796,2.62136051783255,-1.3641198388801117,-2.0181256163877648,0.13385231639521286,-0.31567073919766897,-2.598131141841178,-1.4079497907489174,-0.44548932907390915,-0.8681834539955648,-1.7622599906531313,0.8969159169683324,-2.3999037172676445,-1.0633217629671388,2.649301715761279,-1.0477582600889583,-1.317941431508577,0.23941977078614005,0.1332231932722786,0.11231247602987524,-0.1131599020303194,0.9741350608277641,0.3300077255620666,-1.8396759919823007,0.8000270267596913,0.3139604947600001,1.9644676424600394,1.761755850111904,-0.6801960477155794,1.9500903465789339,0.6717589693542855,1.0095559814597248,0.2742276934170956,0.6007638671778371,-1.4190496638239096,0.9861604632112431,0.2189495429727762,1.3147163210266457,-0.9395206283960423,1.3931137654753174,1.3771565495506812,0.2485907209865983,1
