Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
401,2021/2/25,DEN,,WAS,L 110-112,240,37,85,0.435,22,47,0.468,15,38,0.395,21,24,0.875,110,41,86,0.477,33,60,0.55,8,26,0.308,22,25,0.88,112
402,2021/2/25,WAS,@,DEN,W 112-110,240,41,86,0.477,33,60,0.55,8,26,0.308,22,25,0.88,112,37,85,0.435,22,47,0.468,15,38,0.395,21,24,0.875,110
403,2021/2/25,LAC,@,MEM,L 94-122,240,34,84,0.405,22,50,0.44,12,34,0.353,14,16,0.875,94,50,92,0.543,39,73,0.534,11,19,0.579,11,16,0.688,122
404,2021/2/25,MEM,,LAC,W 122-94,240,50,92,0.543,39,73,0.534,11,19,0.579,11,16,0.688,122,34,84,0.405,22,50,0.44,12,34,0.353,14,16,0.875,94
405,2021/2/25,MIL,,NOP,W 129-125,240,52,96,0.542,39,65,0.6,13,31,0.419,12,16,0.75,129,51,102,0.5,38,63,0.603,13,39,0.333,10,14,0.714,125
406,2021/2/25,NOP,@,MIL,L 125-129,240,51,102,0.5,38,63,0.603,13,39,0.333,10,14,0.714,125,52,96,0.542,39,65,0.6,13,31,0.419,12,16,0.75,129
407,2021/2/25,NYK,,SAC,W 140-121,240,51,87,0.586,32,51,0.627,19,36,0.528,19,21,0.905,140,42,85,0.494,30,50,0.6,12,35,0.343,25,33,0.758,121
408,2021/2/25,SAC,@,NYK,L 121-140,240,42,85,0.494,30,50,0.6,12,35,0.343,25,33,0.758,121,51,87,0.586,32,51,0.627,19,36,0.528,19,21,0.905,140
409,2021/2/25,DAL,@,PHI,L 97-111,240,32,78,0.41,19,44,0.432,13,34,0.382,20,23,0.87,97,39,90,0.433,27,61,0.443,12,29,0.414,21,25,0.84,111
410,2021/2/25,PHI,,DAL,W 111-97,240,39,90,0.433,27,61,0.443,12,29,0.414,21,25,0.84,111,32,78,0.41,19,44,0.432,13,34,0.382,20,23,0.87,97
411,2021/2/24,ATL,,BOS,W 127-112,240,45,85,0.529,22,43,0.512,23,42,0.548,14,17,0.824,127,42,95,0.442,34,64,0.531,8,31,0.258,20,23,0.87,112
412,2021/2/24,BOS,@,ATL,L 112-127,240,42,95,0.442,34,64,0.531,8,31,0.258,20,23,0.87,112,45,85,0.529,22,43,0.512,23,42,0.548,14,17,0.824,127
413,2021/2/24,CHI,,MIN,W 133-126 (OT),265,55,93,0.591,45,68,0.662,10,25,0.4,13,16,0.813,133,47,104,0.452,35,66,0.53,12,38,0.316,20,21,0.952,126
414,2021/2/24,MIN,@,CHI,L 126-133 (OT),265,47,104,0.452,35,66,0.53,12,38,0.316,20,21,0.952,126,55,93,0.591,45,68,0.662,10,25,0.4,13,16,0.813,133
415,2021/2/24,CLE,,HOU,W 112-96,240,43,85,0.506,27,49,0.551,16,36,0.444,10,15,0.667,112,36,90,0.4,26,57,0.456,10,33,0.303,14,17,0.824,96
416,2021/2/24,HOU,@,CLE,L 96-112,240,36,90,0.4,26,57,0.456,10,33,0.303,14,17,0.824,96,43,85,0.506,27,49,0.551,16,36,0.444,10,15,0.667,112
417,2021/2/24,GSW,@,IND,W 111-107,240,39,83,0.47,34,57,0.596,5,26,0.192,28,31,0.903,111,37,81,0.457,30,52,0.577,7,29,0.241,26,32,0.813,107
418,2021/2/24,IND,,GSW,L 107-111,240,37,81,0.457,30,52,0.577,7,29,0.241,26,32,0.813,107,39,83,0.47,34,57,0.596,5,26,0.192,28,31,0.903,111
419,2021/2/24,MIA,,TOR,W 116-108,240,37,80,0.463,20,42,0.476,17,38,0.447,25,29,0.862,116,37,74,0.5,17,30,0.567,20,44,0.455,14,17,0.824,108
420,2021/2/24,TOR,@,MIA,L 108-116,240,37,74,0.5,17,30,0.567,20,44,0.455,14,17,0.824,108,37,80,0.463,20,42,0.476,17,38,0.447,25,29,0.862,116
421,2021/2/24,DET,@,NOP,L 118-128,240,47,89,0.528,34,53,0.642,13,36,0.361,11,16,0.688,118,50,90,0.556,40,67,0.597,10,23,0.435,18,29,0.621,128
422,2021/2/24,NOP,,DET,W 128-118,240,50,90,0.556,40,67,0.597,10,23,0.435,18,29,0.621,128,47,89,0.528,34,53,0.642,13,36,0.361,11,16,0.688,118
423,2021/2/24,OKC,,SAS,W 102-99,240,37,89,0.416,19,45,0.422,18,44,0.409,10,11,0.909,102,40,86,0.465,31,61,0.508,9,25,0.36,10,15,0.667,99
424,2021/2/24,SAS,@,OKC,L 99-102,240,40,86,0.465,31,61,0.508,9,25,0.36,10,15,0.667,99,37,89,0.416,19,45,0.422,18,44,0.409,10,11,0.909,102
425,2021/2/24,CHO,@,PHO,W 124-121,240,43,88,0.489,30,52,0.577,13,36,0.361,25,27,0.926,124,44,87,0.506,30,49,0.612,14,38,0.368,19,27,0.704,121
426,2021/2/24,PHO,,CHO,L 121-124,240,44,87,0.506,30,49,0.612,14,38,0.368,19,27,0.704,121,43,88,0.489,30,52,0.577,13,36,0.361,25,27,0.926,124
427,2021/2/24,LAL,@,UTA,L 89-114,240,34,85,0.4,26,52,0.5,8,33,0.242,13,20,0.65,89,41,87,0.471,19,39,0.487,22,48,0.458,10,15,0.667,114
428,2021/2/24,UTA,,LAL,W 114-89,240,41,87,0.471,19,39,0.487,22,48,0.458,10,15,0.667,114,34,85,0.4,26,52,0.5,8,33,0.242,13,20,0.65,89
429,2021/2/23,BRK,,SAC,W 127-118,240,44,89,0.494,27,49,0.551,17,40,0.425,22,31,0.71,127,45,87,0.517,30,56,0.536,15,31,0.484,13,19,0.684,118
430,2021/2/23,SAC,@,BRK,L 118-127,240,45,87,0.517,30,56,0.536,15,31,0.484,13,19,0.684,118,44,89,0.494,27,49,0.551,17,40,0.425,22,31,0.71,127
431,2021/2/23,ATL,@,CLE,L 111-112,240,40,89,0.449,26,58,0.448,14,31,0.452,17,23,0.739,111,41,78,0.526,26,50,0.52,15,28,0.536,15,19,0.789,112
432,2021/2/23,CLE,,ATL,W 112-111,240,41,78,0.526,26,50,0.52,15,28,0.536,15,19,0.789,112,40,89,0.449,26,58,0.448,14,31,0.452,17,23,0.739,111
433,2021/2/23,BOS,@,DAL,L 107-110,240,41,86,0.477,29,47,0.617,12,39,0.308,13,18,0.722,107,42,89,0.472,29,56,0.518,13,33,0.394,13,15,0.867,110
434,2021/2/23,DAL,,BOS,W 110-107,240,42,89,0.472,29,56,0.518,13,33,0.394,13,15,0.867,110,41,86,0.477,29,47,0.617,12,39,0.308,13,18,0.722,107
435,2021/2/23,DEN,,POR,W 111-106,240,40,94,0.426,26,58,0.448,14,36,0.389,17,18,0.944,111,41,87,0.471,27,46,0.587,14,41,0.341,10,10,1,106
436,2021/2/23,POR,@,DEN,L 106-111,240,41,87,0.471,27,46,0.587,14,41,0.341,10,10,1,106,40,94,0.426,26,58,0.448,14,36,0.389,17,18,0.944,111
437,2021/2/23,LAC,,WAS,W 135-116,240,54,94,0.574,35,56,0.625,19,38,0.5,8,13,0.615,135,47,88,0.534,36,68,0.529,11,20,0.55,11,16,0.688,116
438,2021/2/23,WAS,@,LAC,L 116-135,240,47,88,0.534,36,68,0.529,11,20,0.55,11,16,0.688,116,54,94,0.574,35,56,0.625,19,38,0.5,8,13,0.615,135
439,2021/2/23,MIL,,MIN,W 139-112,240,53,99,0.535,33,57,0.579,20,42,0.476,13,18,0.722,139,42,98,0.429,23,44,0.523,19,54,0.352,9,9,1,112
440,2021/2/23,MIN,@,MIL,L 112-139,240,42,98,0.429,23,44,0.523,19,54,0.352,9,9,1,112,53,99,0.535,33,57,0.579,20,42,0.476,13,18,0.722,139
441,2021/2/23,GSW,@,NYK,W 114-106,240,40,89,0.449,27,51,0.529,13,38,0.342,21,24,0.875,114,38,97,0.392,27,68,0.397,11,29,0.379,19,22,0.864,106
442,2021/2/23,NYK,,GSW,L 106-114,240,38,97,0.392,27,68,0.397,11,29,0.379,19,22,0.864,106,40,89,0.449,27,51,0.529,13,38,0.342,21,24,0.875,114
443,2021/2/23,DET,@,ORL,W 105-93,240,41,88,0.466,31,54,0.574,10,34,0.294,13,16,0.813,105,33,88,0.375,19,50,0.38,14,38,0.368,13,22,0.591,93
444,2021/2/23,ORL,,DET,L 93-105,240,33,88,0.375,19,50,0.38,14,38,0.368,13,22,0.591,93,41,88,0.466,31,54,0.574,10,34,0.294,13,16,0.813,105
445,2021/2/23,PHI,@,TOR,W 109-102,240,33,80,0.413,16,42,0.381,17,38,0.447,26,30,0.867,109,40,93,0.43,29,56,0.518,11,37,0.297,11,13,0.846,102
446,2021/2/23,TOR,,PHI,L 102-109,240,40,93,0.43,29,56,0.518,11,37,0.297,11,13,0.846,102,33,80,0.413,16,42,0.381,17,38,0.447,26,30,0.867,109
447,2021/2/22,DAL,,MEM,W 102-92,240,35,80,0.438,20,39,0.513,15,41,0.366,17,26,0.654,102,37,94,0.394,31,63,0.492,6,31,0.194,12,19,0.632,92
448,2021/2/22,MEM,@,DAL,L 92-102,240,37,94,0.394,31,63,0.492,6,31,0.194,12,19,0.632,92,35,80,0.438,20,39,0.513,15,41,0.366,17,26,0.654,102
449,2021/2/22,CHI,@,HOU,W 120-100,240,49,91,0.538,34,55,0.618,15,36,0.417,7,10,0.7,120,37,96,0.385,24,56,0.429,13,40,0.325,13,19,0.684,100
450,2021/2/22,HOU,,CHI,L 100-120,240,37,96,0.385,24,56,0.429,13,40,0.325,13,19,0.684,100,49,91,0.538,34,55,0.618,15,36,0.417,7,10,0.7,120
451,2021/2/22,LAL,,WAS,L 124-127 (OT),265,49,104,0.471,34,60,0.567,15,44,0.341,11,17,0.647,124,47,96,0.49,38,71,0.535,9,25,0.36,24,33,0.727,127
452,2021/2/22,WAS,@,LAL,W 127-124 (OT),265,47,96,0.49,38,71,0.535,9,25,0.36,24,33,0.727,127,49,104,0.471,34,60,0.567,15,44,0.341,11,17,0.647,124
453,2021/2/22,MIA,@,OKC,W 108-94,240,36,81,0.444,21,41,0.512,15,40,0.375,21,25,0.84,108,32,74,0.432,18,35,0.514,14,39,0.359,16,19,0.842,94
454,2021/2/22,OKC,,MIA,L 94-108,240,32,74,0.432,18,35,0.514,14,39,0.359,16,19,0.842,94,36,81,0.444,21,41,0.512,15,40,0.375,21,25,0.84,108
455,2021/2/22,PHO,,POR,W 132-100,240,50,99,0.505,34,66,0.515,16,33,0.485,16,18,0.889,132,37,84,0.44,25,45,0.556,12,39,0.308,14,19,0.737,100
456,2021/2/22,POR,@,PHO,L 100-132,240,37,84,0.44,25,45,0.556,12,39,0.308,14,19,0.737,100,50,99,0.505,34,66,0.515,16,33,0.485,16,18,0.889,132
457,2021/2/22,CHO,@,UTA,L 110-132,240,41,89,0.461,30,53,0.566,11,36,0.306,17,21,0.81,110,45,85,0.529,17,30,0.567,28,55,0.509,14,17,0.824,132
458,2021/2/22,UTA,,CHO,W 132-110,240,45,85,0.529,17,30,0.567,28,55,0.509,14,17,0.824,132,41,89,0.461,30,53,0.566,11,36,0.306,17,21,0.81,110
459,2021/2/21,ATL,,DEN,W 123-115,240,42,81,0.519,30,47,0.638,12,34,0.353,27,33,0.818,123,43,84,0.512,27,48,0.563,16,36,0.444,13,16,0.813,115
460,2021/2/21,DEN,@,ATL,L 115-123,240,43,84,0.512,27,48,0.563,16,36,0.444,13,16,0.813,115,42,81,0.519,30,47,0.638,12,34,0.353,27,33,0.818,123
461,2021/2/21,CLE,,OKC,L 101-117,240,39,84,0.464,31,49,0.633,8,35,0.229,15,20,0.75,101,43,79,0.544,30,51,0.588,13,28,0.464,18,24,0.75,117
