Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
201,2021/3/15,DAL,,LAC,L 99-109,240,39,79,0.494,22,38,0.579,17,41,0.415,4,5,0.8,99,43,86,0.5,29,54,0.537,14,32,0.438,9,11,0.818,109
202,2021/3/15,LAC,@,DAL,W 109-99,240,43,86,0.5,29,54,0.537,14,32,0.438,9,11,0.818,109,39,79,0.494,22,38,0.579,17,41,0.415,4,5,0.8,99
203,2021/3/15,DEN,,IND,W 121-106,240,45,97,0.464,30,69,0.435,15,28,0.536,16,19,0.842,121,39,90,0.433,22,48,0.458,17,42,0.405,11,13,0.846,106
204,2021/3/15,IND,@,DEN,L 106-121,240,39,90,0.433,22,48,0.458,17,42,0.405,11,13,0.846,106,45,97,0.464,30,69,0.435,15,28,0.536,16,19,0.842,121
205,2021/3/15,DET,,SAS,L 99-109,240,39,83,0.47,32,58,0.552,7,25,0.28,14,25,0.56,99,47,83,0.566,35,58,0.603,12,25,0.48,3,5,0.6,109
206,2021/3/15,SAS,@,DET,W 109-99,240,47,83,0.566,35,58,0.603,12,25,0.48,3,5,0.6,109,39,83,0.47,32,58,0.552,7,25,0.28,14,25,0.56,99
207,2021/3/15,GSW,,LAL,L 97-128,240,34,79,0.43,21,42,0.5,13,37,0.351,16,24,0.667,97,49,78,0.628,38,51,0.745,11,27,0.407,19,25,0.76,128
208,2021/3/15,LAL,@,GSW,W 128-97,240,49,78,0.628,38,51,0.745,11,27,0.407,19,25,0.76,128,34,79,0.43,21,42,0.5,13,37,0.351,16,24,0.667,97
209,2021/3/15,MEM,@,PHO,L 99-122,240,38,87,0.437,33,64,0.516,5,23,0.217,18,26,0.692,99,47,83,0.566,35,53,0.66,12,30,0.4,16,18,0.889,122
210,2021/3/15,PHO,,MEM,W 122-99,240,47,83,0.566,35,53,0.66,12,30,0.4,16,18,0.889,122,38,87,0.437,33,64,0.516,5,23,0.217,18,26,0.692,99
211,2021/3/15,MIL,@,WAS,W 133-122,240,52,94,0.553,41,66,0.621,11,28,0.393,18,19,0.947,133,44,87,0.506,28,49,0.571,16,38,0.421,18,24,0.75,122
212,2021/3/15,WAS,,MIL,L 122-133,240,44,87,0.506,28,49,0.571,16,38,0.421,18,24,0.75,122,52,94,0.553,41,66,0.621,11,28,0.393,18,19,0.947,133
213,2021/3/14,ATL,,CLE,W 100-82,240,32,71,0.451,20,42,0.476,12,29,0.414,24,26,0.923,100,31,81,0.383,23,51,0.451,8,30,0.267,12,23,0.522,82
214,2021/3/14,CLE,@,ATL,L 82-100,240,31,81,0.383,23,51,0.451,8,30,0.267,12,23,0.522,82,32,71,0.451,20,42,0.476,12,29,0.414,24,26,0.923,100
215,2021/3/14,CHI,,TOR,W 118-95,240,44,97,0.454,32,53,0.604,12,44,0.273,18,23,0.783,118,34,90,0.378,22,45,0.489,12,45,0.267,15,21,0.714,95
216,2021/3/14,TOR,@,CHI,L 95-118,240,34,90,0.378,22,45,0.489,12,45,0.267,15,21,0.714,95,44,97,0.454,32,53,0.604,12,44,0.273,18,23,0.783,118
217,2021/3/14,GSW,,UTA,W 131-119,240,50,89,0.562,34,58,0.586,16,31,0.516,15,18,0.833,131,41,93,0.441,26,49,0.531,15,44,0.341,22,29,0.759,119
218,2021/3/14,UTA,@,GSW,L 119-131,240,41,93,0.441,26,49,0.531,15,44,0.341,22,29,0.759,119,50,89,0.562,34,58,0.586,16,31,0.516,15,18,0.833,131
219,2021/3/14,BOS,@,HOU,W 134-107,240,51,92,0.554,33,55,0.6,18,37,0.486,14,21,0.667,134,35,91,0.385,19,41,0.463,16,50,0.32,21,31,0.677,107
220,2021/3/14,HOU,,BOS,L 107-134,240,35,91,0.385,19,41,0.463,16,50,0.32,21,31,0.677,107,51,92,0.554,33,55,0.6,18,37,0.486,14,21,0.667,134
221,2021/3/14,MIN,,POR,W 114-112,240,36,73,0.493,23,35,0.657,13,38,0.342,29,39,0.744,114,39,89,0.438,22,44,0.5,17,45,0.378,17,21,0.81,112
222,2021/3/14,POR,@,MIN,L 112-114,240,39,89,0.438,22,44,0.5,17,45,0.378,17,21,0.81,112,36,73,0.493,23,35,0.657,13,38,0.342,29,39,0.744,114
223,2021/3/14,LAC,@,NOP,L 115-135,240,42,92,0.457,27,49,0.551,15,43,0.349,16,19,0.842,115,53,81,0.654,41,55,0.745,12,26,0.462,17,21,0.81,135
224,2021/3/14,NOP,,LAC,W 135-115,240,53,81,0.654,41,55,0.745,12,26,0.462,17,21,0.81,135,42,92,0.457,27,49,0.551,15,43,0.349,16,19,0.842,115
