Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
2501,2019/12/28,BOS,,TOR,L 97-113,240,31,78,0.397,24,46,0.522,7,32,0.219,28,36,0.778,97,44,84,0.524,30,50,0.6,14,34,0.412,11,17,0.647,113
2502,2019/12/28,TOR,@,BOS,W 113-97,240,44,84,0.524,30,50,0.6,14,34,0.412,11,17,0.647,113,31,78,0.397,24,46,0.522,7,32,0.219,28,36,0.778,97
2503,2019/12/28,ATL,@,CHI,L 81-116,240,32,86,0.372,23,52,0.442,9,34,0.265,8,11,0.727,81,43,87,0.494,28,56,0.5,15,31,0.484,15,19,0.789,116
2504,2019/12/28,CHI,,ATL,W 116-81,240,43,87,0.494,28,56,0.5,15,31,0.484,15,19,0.789,116,32,86,0.372,23,52,0.442,9,34,0.265,8,11,0.727,81
2505,2019/12/28,DEN,,MEM,W 119-110,240,45,93,0.484,36,64,0.563,9,29,0.31,20,27,0.741,119,41,84,0.488,32,54,0.593,9,30,0.3,19,25,0.76,110
2506,2019/12/28,MEM,@,DEN,L 110-119,240,41,84,0.488,32,54,0.593,9,30,0.3,19,25,0.76,110,45,93,0.484,36,64,0.563,9,29,0.31,20,27,0.741,119
2507,2019/12/28,DAL,@,GSW,W 141-121,240,48,92,0.522,24,41,0.585,24,51,0.471,21,21,1,141,45,93,0.484,27,54,0.5,18,39,0.462,13,17,0.765,121
2508,2019/12/28,GSW,,DAL,L 121-141,240,45,93,0.484,27,54,0.5,18,39,0.462,13,17,0.765,121,48,92,0.522,24,41,0.585,24,51,0.471,21,21,1,141
2509,2019/12/28,BRK,@,HOU,L 98-108,240,37,92,0.402,26,53,0.491,11,39,0.282,13,21,0.619,98,44,101,0.436,31,59,0.525,13,42,0.31,7,16,0.438,108
2510,2019/12/28,HOU,,BRK,W 108-98,240,44,101,0.436,31,59,0.525,13,42,0.31,7,16,0.438,108,37,92,0.402,26,53,0.491,11,39,0.282,13,21,0.619,98
2511,2019/12/28,LAC,,UTA,L 107-120,240,35,95,0.368,23,55,0.418,12,40,0.3,25,27,0.926,107,45,86,0.523,28,51,0.549,17,35,0.486,13,17,0.765,120
2512,2019/12/28,UTA,@,LAC,W 120-107,240,45,86,0.523,28,51,0.549,17,35,0.486,13,17,0.765,120,35,95,0.368,23,55,0.418,12,40,0.3,25,27,0.926,107
2513,2019/12/28,MIA,,PHI,W 117-116 (OT),265,42,94,0.447,32,66,0.485,10,28,0.357,23,29,0.793,117,42,89,0.472,32,59,0.542,10,30,0.333,22,29,0.759,116
2514,2019/12/28,PHI,@,MIA,L 116-117 (OT),265,42,89,0.472,32,59,0.542,10,30,0.333,22,29,0.759,116,42,94,0.447,32,66,0.485,10,28,0.357,23,29,0.793,117
2515,2019/12/28,MIL,,ORL,W 111-100,240,43,84,0.512,30,47,0.638,13,37,0.351,12,18,0.667,111,35,87,0.402,21,52,0.404,14,35,0.4,16,19,0.842,100
2516,2019/12/28,ORL,@,MIL,L 100-111,240,35,87,0.402,21,52,0.404,14,35,0.4,16,19,0.842,100,43,84,0.512,30,47,0.638,13,37,0.351,12,18,0.667,111
2517,2019/12/28,CLE,@,MIN,W 94-88,240,32,77,0.416,28,57,0.491,4,20,0.2,26,36,0.722,94,33,93,0.355,25,56,0.446,8,37,0.216,14,19,0.737,88
2518,2019/12/28,MIN,,CLE,L 88-94,240,33,93,0.355,25,56,0.446,8,37,0.216,14,19,0.737,88,32,77,0.416,28,57,0.491,4,20,0.2,26,36,0.722,94
2519,2019/12/28,IND,@,NOP,L 98-120,240,33,85,0.388,27,57,0.474,6,28,0.214,26,29,0.897,98,43,93,0.462,25,51,0.49,18,42,0.429,16,20,0.8,120
2520,2019/12/28,NOP,,IND,W 120-98,240,43,93,0.462,25,51,0.49,18,42,0.429,16,20,0.8,120,33,85,0.388,27,57,0.474,6,28,0.214,26,29,0.897,98
2521,2019/12/28,LAL,@,POR,W 128-120,240,47,91,0.516,36,59,0.61,11,32,0.344,23,28,0.821,128,41,86,0.477,26,51,0.51,15,35,0.429,23,27,0.852,120
2522,2019/12/28,POR,,LAL,L 120-128,240,41,86,0.477,26,51,0.51,15,35,0.429,23,27,0.852,120,47,91,0.516,36,59,0.61,11,32,0.344,23,28,0.821,128
2523,2019/12/28,PHO,@,SAC,W 112-110,240,45,86,0.523,36,60,0.6,9,26,0.346,13,15,0.867,112,41,84,0.488,29,53,0.547,12,31,0.387,16,24,0.667,110
2524,2019/12/28,SAC,,PHO,L 110-112,240,41,84,0.488,29,53,0.547,12,31,0.387,16,24,0.667,110,45,86,0.523,36,60,0.6,9,26,0.346,13,15,0.867,112
2525,2019/12/28,DET,@,SAS,L 109-136,240,40,90,0.444,28,54,0.519,12,36,0.333,17,30,0.567,109,53,93,0.57,35,58,0.603,18,35,0.514,12,15,0.8,136
2526,2019/12/28,SAS,,DET,W 136-109,240,53,93,0.57,35,58,0.603,18,35,0.514,12,15,0.8,136,40,90,0.444,28,54,0.519,12,36,0.333,17,30,0.567,109
2527,2019/12/28,NYK,@,WAS,W 107-100,240,38,85,0.447,27,54,0.5,11,31,0.355,20,26,0.769,107,33,96,0.344,23,71,0.324,10,25,0.4,24,31,0.774,100
2528,2019/12/28,WAS,,NYK,L 100-107,240,33,96,0.344,23,71,0.324,10,25,0.4,24,31,0.774,100,38,85,0.447,27,54,0.5,11,31,0.355,20,26,0.769,107
2529,2019/12/27,ATL,,MIL,L 86-112,240,33,91,0.363,21,50,0.42,12,41,0.293,8,14,0.571,86,46,91,0.505,35,63,0.556,11,28,0.393,9,13,0.692,112
2530,2019/12/27,MIL,@,ATL,W 112-86,240,46,91,0.505,35,63,0.556,11,28,0.393,9,13,0.692,112,33,91,0.363,21,50,0.42,12,41,0.293,8,14,0.571,86
2531,2019/12/27,BOS,,CLE,W 129-117,240,49,95,0.516,35,55,0.636,14,40,0.35,17,19,0.895,129,44,85,0.518,35,62,0.565,9,23,0.391,20,29,0.69,117
2532,2019/12/27,CLE,@,BOS,L 117-129,240,44,85,0.518,35,62,0.565,9,23,0.391,20,29,0.69,117,49,95,0.516,35,55,0.636,14,40,0.35,17,19,0.895,129
2533,2019/12/27,CHO,,OKC,L 102-104 (OT),265,42,101,0.416,35,62,0.565,7,39,0.179,11,18,0.611,102,40,89,0.449,35,58,0.603,5,31,0.161,19,31,0.613,104
2534,2019/12/27,OKC,@,CHO,W 104-102 (OT),265,40,89,0.449,35,58,0.603,5,31,0.161,19,31,0.613,104,42,101,0.416,35,62,0.565,7,39,0.179,11,18,0.611,102
2535,2019/12/27,GSW,,PHO,W 105-96,240,38,92,0.413,29,65,0.446,9,27,0.333,20,25,0.8,105,35,75,0.467,28,42,0.667,7,33,0.212,19,24,0.792,96
2536,2019/12/27,PHO,@,GSW,L 96-105,240,35,75,0.467,28,42,0.667,7,33,0.212,19,24,0.792,96,38,92,0.413,29,65,0.446,9,27,0.333,20,25,0.8,105
2537,2019/12/27,IND,@,MIA,L 112-113,240,44,90,0.489,30,59,0.508,14,31,0.452,10,12,0.833,112,40,89,0.449,24,51,0.471,16,38,0.421,17,19,0.895,113
2538,2019/12/27,MIA,,IND,W 113-112,240,40,89,0.449,24,51,0.471,16,38,0.421,17,19,0.895,113,44,90,0.489,30,59,0.508,14,31,0.452,10,12,0.833,112
2539,2019/12/27,ORL,,PHI,W 98-97,240,37,88,0.42,27,58,0.466,10,30,0.333,14,23,0.609,98,35,87,0.402,25,58,0.431,10,29,0.345,17,21,0.81,97
2540,2019/12/27,PHI,@,ORL,L 97-98,240,35,87,0.402,25,58,0.431,10,29,0.345,17,21,0.81,97,37,88,0.42,27,58,0.466,10,30,0.333,14,23,0.609,98
2541,2019/12/26,BRK,,NYK,L 82-94,240,21,78,0.269,8,28,0.286,13,50,0.26,27,36,0.75,82,37,92,0.402,28,63,0.444,9,29,0.31,11,15,0.733,94
2542,2019/12/26,NYK,@,BRK,W 94-82,240,37,92,0.402,28,63,0.444,9,29,0.31,11,15,0.733,94,21,78,0.269,8,28,0.286,13,50,0.26,27,36,0.75,82
2543,2019/12/26,DAL,,SAS,W 102-98,240,38,90,0.422,22,50,0.44,16,40,0.4,10,15,0.667,102,40,83,0.482,32,54,0.593,8,29,0.276,10,15,0.667,98
2544,2019/12/26,SAS,@,DAL,L 98-102,240,40,83,0.482,32,54,0.593,8,29,0.276,10,15,0.667,98,38,90,0.422,22,50,0.44,16,40,0.4,10,15,0.667,102
2545,2019/12/26,DET,,WAS,W 132-102,240,46,86,0.535,27,38,0.711,19,48,0.396,21,26,0.808,132,38,92,0.413,31,68,0.456,7,24,0.292,19,27,0.704,102
2546,2019/12/26,WAS,@,DET,L 102-132,240,38,92,0.413,31,68,0.456,7,24,0.292,19,27,0.704,102,46,86,0.535,27,38,0.711,19,48,0.396,21,26,0.808,132
