Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
101,2021/3/21,BOS,,ORL,W 112-96,240,40,88,0.455,17,33,0.515,23,55,0.418,9,9,1,112,32,84,0.381,21,50,0.42,11,34,0.324,21,30,0.7,96
102,2021/3/21,ORL,@,BOS,L 96-112,240,32,84,0.381,21,50,0.42,11,34,0.324,21,30,0.7,96,40,88,0.455,17,33,0.515,23,55,0.418,9,9,1,112
103,2021/3/21,BRK,,WAS,W 113-106,240,44,90,0.489,35,61,0.574,9,29,0.31,16,22,0.727,113,42,79,0.532,35,58,0.603,7,21,0.333,15,19,0.789,106
104,2021/3/21,WAS,@,BRK,L 106-113,240,42,79,0.532,35,58,0.603,7,21,0.333,15,19,0.789,106,44,90,0.489,35,61,0.574,9,29,0.31,16,22,0.727,113
105,2021/3/21,CLE,,TOR,W 116-105,240,39,77,0.506,22,44,0.5,17,33,0.515,21,28,0.75,116,37,95,0.389,22,49,0.449,15,46,0.326,16,19,0.842,105
106,2021/3/21,TOR,@,CLE,L 105-116,240,37,95,0.389,22,49,0.449,15,46,0.326,16,19,0.842,105,39,77,0.506,22,44,0.5,17,33,0.515,21,28,0.75,116
107,2021/3/21,DEN,,NOP,L 108-113,240,44,88,0.5,32,54,0.593,12,34,0.353,8,10,0.8,108,41,85,0.482,33,57,0.579,8,28,0.286,23,30,0.767,113
108,2021/3/21,NOP,@,DEN,W 113-108,240,41,85,0.482,33,57,0.579,8,28,0.286,23,30,0.767,113,44,88,0.5,32,54,0.593,12,34,0.353,8,10,0.8,108
109,2021/3/21,CHI,@,DET,W 100-86,240,37,80,0.463,23,52,0.442,14,28,0.5,12,14,0.857,100,32,82,0.39,28,57,0.491,4,25,0.16,18,25,0.72,86
110,2021/3/21,DET,,CHI,L 86-100,240,32,82,0.39,28,57,0.491,4,25,0.16,18,25,0.72,86,37,80,0.463,23,52,0.442,14,28,0.5,12,14,0.857,100
111,2021/3/21,HOU,,OKC,L 112-114,240,39,79,0.494,25,41,0.61,14,38,0.368,20,27,0.741,112,42,91,0.462,29,52,0.558,13,39,0.333,17,25,0.68,114
112,2021/3/21,OKC,@,HOU,W 114-112,240,42,91,0.462,29,52,0.558,13,39,0.333,17,25,0.68,114,39,79,0.494,25,41,0.61,14,38,0.368,20,27,0.741,112
113,2021/3/21,IND,@,MIA,W 109-106 (OT),265,38,98,0.388,23,53,0.434,15,45,0.333,18,20,0.9,109,39,97,0.402,30,60,0.5,9,37,0.243,19,23,0.826,106
114,2021/3/21,MIA,,IND,L 106-109 (OT),265,39,97,0.402,30,60,0.5,9,37,0.243,19,23,0.826,106,38,98,0.388,23,53,0.434,15,45,0.333,18,20,0.9,109
115,2021/3/21,NYK,,PHI,L 100-101 (OT),265,38,88,0.432,27,64,0.422,11,24,0.458,13,23,0.565,100,38,82,0.463,27,57,0.474,11,25,0.44,14,23,0.609,101
116,2021/3/21,PHI,@,NYK,W 101-100 (OT),265,38,82,0.463,27,57,0.474,11,25,0.44,14,23,0.609,101,38,88,0.432,27,64,0.422,11,24,0.458,13,23,0.565,100
117,2021/3/21,LAL,@,PHO,L 94-111,240,35,85,0.412,30,60,0.5,5,25,0.2,19,28,0.679,94,42,87,0.483,33,55,0.6,9,32,0.281,18,23,0.783,111
118,2021/3/21,PHO,,LAL,W 111-94,240,42,87,0.483,33,55,0.6,9,32,0.281,18,23,0.783,111,35,85,0.412,30,60,0.5,5,25,0.2,19,28,0.679,94
119,2021/3/21,DAL,@,POR,W 132-92,240,48,86,0.558,29,49,0.592,19,37,0.514,17,20,0.85,132,34,89,0.382,25,48,0.521,9,41,0.22,15,19,0.789,92
120,2021/3/21,POR,,DAL,L 92-132,240,34,89,0.382,25,48,0.521,9,41,0.22,15,19,0.789,92,48,86,0.558,29,49,0.592,19,37,0.514,17,20,0.85,132
121,2021/3/20,CHO,@,LAC,L 98-125,240,31,80,0.388,16,39,0.41,15,41,0.366,21,28,0.75,98,45,86,0.523,33,52,0.635,12,34,0.353,23,23,1,125
122,2021/3/20,LAC,,CHO,W 125-98,240,45,86,0.523,33,52,0.635,12,34,0.353,23,23,1,125,31,80,0.388,16,39,0.41,15,41,0.366,21,28,0.75,98
123,2021/3/20,ATL,@,LAL,W 99-94,240,39,98,0.398,26,61,0.426,13,37,0.351,8,9,0.889,99,34,81,0.42,26,55,0.473,8,26,0.308,18,24,0.75,94
124,2021/3/20,LAL,,ATL,L 94-99,240,34,81,0.42,26,55,0.473,8,26,0.308,18,24,0.75,94,39,98,0.398,26,61,0.426,13,37,0.351,8,9,0.889,99
125,2021/3/20,GSW,@,MEM,L 103-111,240,31,90,0.344,18,49,0.367,13,41,0.317,28,34,0.824,103,37,95,0.389,27,63,0.429,10,32,0.313,27,31,0.871,111
126,2021/3/20,MEM,,GSW,W 111-103,240,37,95,0.389,27,63,0.429,10,32,0.313,27,31,0.871,111,31,90,0.344,18,49,0.367,13,41,0.317,28,34,0.824,103
127,2021/3/20,MIL,,SAS,W 120-113,240,45,92,0.489,31,54,0.574,14,38,0.368,16,18,0.889,120,46,96,0.479,34,63,0.54,12,33,0.364,9,10,0.9,113
128,2021/3/20,SAS,@,MIL,L 113-120,240,46,96,0.479,34,63,0.54,12,33,0.364,9,10,0.9,113,45,92,0.489,31,54,0.574,14,38,0.368,16,18,0.889,120
129,2021/3/20,PHI,,SAC,W 129-105,240,48,86,0.558,37,63,0.587,11,23,0.478,22,29,0.759,129,39,85,0.459,29,57,0.509,10,28,0.357,17,27,0.63,105
130,2021/3/20,SAC,@,PHI,L 105-129,240,39,85,0.459,29,57,0.509,10,28,0.357,17,27,0.63,105,48,86,0.558,37,63,0.587,11,23,0.478,22,29,0.759,129
131,2021/3/19,BOS,,SAC,L 96-107,240,39,91,0.429,27,60,0.45,12,31,0.387,6,7,0.857,96,37,81,0.457,25,51,0.49,12,30,0.4,21,26,0.808,107
132,2021/3/19,SAC,@,BOS,W 107-96,240,37,81,0.457,25,51,0.49,12,30,0.4,21,26,0.808,107,39,91,0.429,27,60,0.45,12,31,0.387,6,7,0.857,96
133,2021/3/19,CLE,,SAS,L 110-116,240,39,89,0.438,32,62,0.516,7,27,0.259,25,32,0.781,110,41,88,0.466,34,70,0.486,7,18,0.389,27,33,0.818,116
134,2021/3/19,SAS,@,CLE,W 116-110,240,41,88,0.466,34,70,0.486,7,18,0.389,27,33,0.818,116,39,89,0.438,32,62,0.516,7,27,0.259,25,32,0.781,110
135,2021/3/19,CHI,@,DEN,L 127-131 (OT),265,47,90,0.522,30,55,0.545,17,35,0.486,16,23,0.696,127,48,91,0.527,34,57,0.596,14,34,0.412,21,27,0.778,131
136,2021/3/19,DEN,,CHI,W 131-127 (OT),265,48,91,0.527,34,57,0.596,14,34,0.412,21,27,0.778,131,47,90,0.522,30,55,0.545,17,35,0.486,16,23,0.696,127
137,2021/3/19,DET,@,HOU,W 113-100,240,37,85,0.435,23,56,0.411,14,29,0.483,25,28,0.893,113,39,88,0.443,30,56,0.536,9,32,0.281,13,16,0.813,100
138,2021/3/19,HOU,,DET,L 100-113,240,39,88,0.443,30,56,0.536,9,32,0.281,13,16,0.813,100,37,85,0.435,23,56,0.411,14,29,0.483,25,28,0.893,113
139,2021/3/19,GSW,@,MEM,W 116-103,240,44,91,0.484,29,50,0.58,15,41,0.366,13,18,0.722,116,39,84,0.464,31,58,0.534,8,26,0.308,17,21,0.81,103
140,2021/3/19,MEM,,GSW,L 103-116,240,39,84,0.464,31,58,0.534,8,26,0.308,17,21,0.81,103,44,91,0.484,29,50,0.58,15,41,0.366,13,18,0.722,116
141,2021/3/19,IND,@,MIA,W 137-110,240,52,89,0.584,32,53,0.604,20,36,0.556,13,19,0.684,137,41,92,0.446,32,58,0.552,9,34,0.265,19,20,0.95,110
142,2021/3/19,MIA,,IND,L 110-137,240,41,92,0.446,32,58,0.552,9,34,0.265,19,20,0.95,110,52,89,0.584,32,53,0.604,20,36,0.556,13,19,0.684,137
