Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
501,2021/2/19,CHI,@,PHI,L 105-112,240,40,95,0.421,33,63,0.524,7,32,0.219,18,18,1,105,41,87,0.471,34,66,0.515,7,21,0.333,23,29,0.793,112
502,2021/2/19,PHI,,CHI,W 112-105,240,41,87,0.471,34,66,0.515,7,21,0.333,23,29,0.793,112,40,95,0.421,33,63,0.524,7,32,0.219,18,18,1,105
503,2021/2/18,BRK,@,LAL,W 109-98,240,38,77,0.494,20,38,0.526,18,39,0.462,15,24,0.625,109,40,83,0.482,32,53,0.604,8,30,0.267,10,14,0.714,98
504,2021/2/18,LAL,,BRK,L 98-109,240,40,83,0.482,32,53,0.604,8,30,0.267,10,14,0.714,98,38,77,0.494,20,38,0.526,18,39,0.462,15,24,0.625,109
505,2021/2/18,MIL,,TOR,L 96-110,240,35,88,0.398,25,54,0.463,10,34,0.294,16,23,0.696,96,38,78,0.487,26,43,0.605,12,35,0.343,22,23,0.957,110
506,2021/2/18,TOR,@,MIL,W 110-96,240,38,78,0.487,26,43,0.605,12,35,0.343,22,23,0.957,110,35,88,0.398,25,54,0.463,10,34,0.294,16,23,0.696,96
507,2021/2/18,MIA,@,SAC,W 118-110,240,49,95,0.516,37,61,0.607,12,34,0.353,8,10,0.8,118,43,93,0.462,28,52,0.538,15,41,0.366,9,16,0.563,110
508,2021/2/18,SAC,,MIA,L 110-118,240,43,93,0.462,28,52,0.538,15,41,0.366,9,16,0.563,110,49,95,0.516,37,61,0.607,12,34,0.353,8,10,0.8,118
509,2021/2/17,ATL,@,BOS,W 122-114,240,44,77,0.571,36,53,0.679,8,24,0.333,26,31,0.839,122,40,86,0.465,30,55,0.545,10,31,0.323,24,27,0.889,114
510,2021/2/17,BOS,,ATL,L 114-122,240,40,86,0.465,30,55,0.545,10,31,0.323,24,27,0.889,114,44,77,0.571,36,53,0.679,8,24,0.333,26,31,0.839,122
