Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
601,2021/2/12,ORL,@,SAC,W 123-112,240,46,91,0.505,31,57,0.544,15,34,0.441,16,20,0.8,123,43,83,0.518,31,50,0.62,12,33,0.364,14,19,0.737,112
602,2021/2/12,SAC,,ORL,L 112-123,240,43,83,0.518,31,50,0.62,12,33,0.364,14,19,0.737,112,46,91,0.505,31,57,0.544,15,34,0.441,16,20,0.8,123
603,2021/2/12,MIL,@,UTA,L 115-129,240,42,92,0.457,30,59,0.508,12,33,0.364,19,27,0.704,115,43,82,0.524,29,44,0.659,14,38,0.368,29,34,0.853,129
604,2021/2/12,UTA,,MIL,W 129-115,240,43,82,0.524,29,44,0.659,14,38,0.368,29,34,0.853,129,42,92,0.457,30,59,0.508,12,33,0.364,19,27,0.704,115
605,2021/2/12,NYK,@,WAS,W 109-91,240,44,98,0.449,38,74,0.514,6,24,0.25,15,22,0.682,109,34,89,0.382,25,55,0.455,9,34,0.265,14,20,0.7,91
606,2021/2/12,WAS,,NYK,L 91-109,240,34,89,0.382,25,55,0.455,9,34,0.265,14,20,0.7,91,44,98,0.449,38,74,0.514,6,24,0.25,15,22,0.682,109
607,2021/2/11,BOS,,TOR,W 120-106,240,39,86,0.453,19,47,0.404,20,39,0.513,22,28,0.786,120,41,83,0.494,32,55,0.582,9,28,0.321,15,19,0.789,106
608,2021/2/11,TOR,@,BOS,L 106-120,240,41,83,0.494,32,55,0.582,9,28,0.321,15,19,0.789,106,39,86,0.453,19,47,0.404,20,39,0.513,22,28,0.786,120
609,2021/2/11,DET,,IND,L 95-111,240,38,85,0.447,33,57,0.579,5,28,0.179,14,19,0.737,95,44,86,0.512,30,55,0.545,14,31,0.452,9,10,0.9,111
610,2021/2/11,IND,@,DET,W 111-95,240,44,86,0.512,30,55,0.545,14,31,0.452,9,10,0.9,111,38,85,0.447,33,57,0.579,5,28,0.179,14,19,0.737,95
611,2021/2/11,GSW,,ORL,W 111-105,240,41,88,0.466,21,38,0.553,20,50,0.4,9,12,0.75,111,38,97,0.392,23,64,0.359,15,33,0.455,14,18,0.778,105
612,2021/2/11,ORL,@,GSW,L 105-111,240,38,97,0.392,23,64,0.359,15,33,0.455,14,18,0.778,105,41,88,0.466,21,38,0.553,20,50,0.4,9,12,0.75,111
613,2021/2/11,HOU,,MIA,L 94-101,240,32,83,0.386,17,33,0.515,15,50,0.3,15,20,0.75,94,34,79,0.43,19,37,0.514,15,42,0.357,18,20,0.9,101
614,2021/2/11,MIA,@,HOU,W 101-94,240,34,79,0.43,19,37,0.514,15,42,0.357,18,20,0.9,101,32,83,0.386,17,33,0.515,15,50,0.3,15,20,0.75,94
615,2021/2/11,PHI,@,POR,L 114-118,240,42,86,0.488,36,59,0.61,6,27,0.222,24,29,0.828,114,40,93,0.43,23,55,0.418,17,38,0.447,21,23,0.913,118
616,2021/2/11,POR,,PHI,W 118-114,240,40,93,0.43,23,55,0.418,17,38,0.447,21,23,0.913,118,42,86,0.488,36,59,0.61,6,27,0.222,24,29,0.828,114
617,2021/2/10,BRK,,IND,W 104-94,240,32,76,0.421,23,45,0.511,9,31,0.29,31,35,0.886,104,36,92,0.391,21,54,0.389,15,38,0.395,7,11,0.636,94
618,2021/2/10,IND,@,BRK,L 94-104,240,36,92,0.391,21,54,0.389,15,38,0.395,7,11,0.636,94,32,76,0.421,23,45,0.511,9,31,0.29,31,35,0.886,104
619,2021/2/10,CHI,,NOP,W 129-116,240,48,81,0.593,23,34,0.676,25,47,0.532,8,11,0.727,129,41,81,0.506,28,45,0.622,13,36,0.361,21,26,0.808,116
620,2021/2/10,NOP,@,CHI,L 116-129,240,41,81,0.506,28,45,0.622,13,36,0.361,21,26,0.808,116,48,81,0.593,23,34,0.676,25,47,0.532,8,11,0.727,129
621,2021/2/10,ATL,@,DAL,L 117-118,240,40,88,0.455,26,49,0.531,14,39,0.359,23,28,0.821,117,43,84,0.512,29,49,0.592,14,35,0.4,18,20,0.9,118
