Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1301,2020/12/26,ATL,@,MEM,W 122-112,240,38,89,0.427,25,53,0.472,13,36,0.361,33,38,0.868,122,37,93,0.398,24,50,0.48,13,43,0.302,25,29,0.862,112
1302,2020/12/26,MEM,,ATL,L 112-122,240,37,93,0.398,24,50,0.48,13,43,0.302,25,29,0.862,112,38,89,0.427,25,53,0.472,13,36,0.361,33,38,0.868,122
1303,2020/12/26,NYK,,PHI,L 89-109,240,32,83,0.386,24,54,0.444,8,29,0.276,17,23,0.739,89,41,88,0.466,30,57,0.526,11,31,0.355,16,22,0.727,109
1304,2020/12/26,PHI,@,NYK,W 109-89,240,41,88,0.466,30,57,0.526,11,31,0.355,16,22,0.727,109,32,83,0.386,24,54,0.444,8,29,0.276,17,23,0.739,89
1305,2020/12/26,HOU,@,POR,L 126-128 (OT),265,45,87,0.517,34,52,0.654,11,35,0.314,25,32,0.781,126,47,102,0.461,28,57,0.491,19,45,0.422,15,23,0.652,128
1306,2020/12/26,POR,,HOU,W 128-126 (OT),265,47,102,0.461,28,57,0.491,19,45,0.422,15,23,0.652,128,45,87,0.517,34,52,0.654,11,35,0.314,25,32,0.781,126
1307,2020/12/26,PHO,@,SAC,L 103-106,240,41,98,0.418,30,54,0.556,11,44,0.25,10,13,0.769,103,39,86,0.453,34,63,0.54,5,23,0.217,23,33,0.697,106
1308,2020/12/26,SAC,,PHO,W 106-103,240,39,86,0.453,34,63,0.54,5,23,0.217,23,33,0.697,106,41,98,0.418,30,54,0.556,11,44,0.25,10,13,0.769,103
1309,2020/12/26,SAS,,TOR,W 119-114,240,47,100,0.47,33,66,0.5,14,34,0.412,11,16,0.688,119,44,96,0.458,29,55,0.527,15,41,0.366,11,15,0.733,114
1310,2020/12/26,TOR,@,SAS,L 114-119,240,44,96,0.458,29,55,0.527,15,41,0.366,11,15,0.733,114,47,100,0.47,33,66,0.5,14,34,0.412,11,16,0.688,119
1311,2020/12/26,MIN,@,UTA,W 116-111,240,45,101,0.446,32,72,0.444,13,29,0.448,13,18,0.722,116,36,94,0.383,26,60,0.433,10,34,0.294,29,37,0.784,111
1312,2020/12/26,UTA,,MIN,L 111-116,240,36,94,0.383,26,60,0.433,10,34,0.294,29,37,0.784,111,45,101,0.446,32,72,0.444,13,29,0.448,13,18,0.722,116
1313,2020/12/26,ORL,@,WAS,W 130-120,240,48,95,0.505,37,64,0.578,11,31,0.355,23,29,0.793,130,46,95,0.484,33,58,0.569,13,37,0.351,15,28,0.536,120
1314,2020/12/26,WAS,,ORL,L 120-130,240,46,95,0.484,33,58,0.569,13,37,0.351,15,28,0.536,120,48,95,0.505,37,64,0.578,11,31,0.355,23,29,0.793,130
1315,2020/12/25,BOS,,BRK,L 95-123,240,37,98,0.378,29,71,0.408,8,27,0.296,13,19,0.684,95,41,76,0.539,26,47,0.553,15,29,0.517,26,31,0.839,123
1316,2020/12/25,BRK,@,BOS,W 123-95,240,41,76,0.539,26,47,0.553,15,29,0.517,26,31,0.839,123,37,98,0.378,29,71,0.408,8,27,0.296,13,19,0.684,95
1317,2020/12/25,DEN,,LAC,L 108-121,240,37,81,0.457,26,45,0.578,11,36,0.306,23,31,0.742,108,41,74,0.554,22,36,0.611,19,38,0.5,20,24,0.833,121
1318,2020/12/25,LAC,@,DEN,W 121-108,240,41,74,0.554,22,36,0.611,19,38,0.5,20,24,0.833,121,37,81,0.457,26,45,0.578,11,36,0.306,23,31,0.742,108
1319,2020/12/25,DAL,@,LAL,L 115-138,240,41,83,0.494,28,51,0.549,13,32,0.406,20,26,0.769,115,51,91,0.56,32,52,0.615,19,39,0.487,17,24,0.708,138
1320,2020/12/25,LAL,,DAL,W 138-115,240,51,91,0.56,32,52,0.615,19,39,0.487,17,24,0.708,138,41,83,0.494,28,51,0.549,13,32,0.406,20,26,0.769,115
1321,2020/12/25,MIA,,NOP,W 111-98,240,38,75,0.507,22,38,0.579,16,37,0.432,19,23,0.826,111,31,78,0.397,21,43,0.488,10,35,0.286,26,33,0.788,98
1322,2020/12/25,NOP,@,MIA,L 98-111,240,31,78,0.397,21,43,0.488,10,35,0.286,26,33,0.788,98,38,75,0.507,22,38,0.579,16,37,0.432,19,23,0.826,111
1323,2020/12/25,GSW,@,MIL,L 99-138,240,34,99,0.343,24,54,0.444,10,45,0.222,21,25,0.84,99,50,90,0.556,30,54,0.556,20,36,0.556,18,26,0.692,138
1324,2020/12/25,MIL,,GSW,W 138-99,240,50,90,0.556,30,54,0.556,20,36,0.556,18,26,0.692,138,34,99,0.343,24,54,0.444,10,45,0.222,21,25,0.84,99
1325,2020/12/23,BOS,,MIL,W 122-121,240,48,101,0.475,30,61,0.492,18,40,0.45,8,11,0.727,122,46,90,0.511,32,55,0.582,14,35,0.4,15,18,0.833,121
1326,2020/12/23,MIL,@,BOS,L 121-122,240,46,90,0.511,32,55,0.582,14,35,0.4,15,18,0.833,121,48,101,0.475,30,61,0.492,18,40,0.45,8,11,0.727,122
1327,2020/12/23,ATL,@,CHI,W 124-104,240,43,80,0.538,29,45,0.644,14,35,0.4,24,29,0.828,124,36,87,0.414,28,52,0.538,8,35,0.229,24,28,0.857,104
1328,2020/12/23,CHI,,ATL,L 104-124,240,36,87,0.414,28,52,0.538,8,35,0.229,24,28,0.857,104,43,80,0.538,29,45,0.644,14,35,0.4,24,29,0.828,124
1329,2020/12/23,CHO,@,CLE,L 114-121,240,45,90,0.5,29,46,0.63,16,44,0.364,8,15,0.533,114,46,87,0.529,32,57,0.561,14,30,0.467,15,20,0.75,121
1330,2020/12/23,CLE,,CHO,W 121-114,240,46,87,0.529,32,57,0.561,14,30,0.467,15,20,0.75,121,45,90,0.5,29,46,0.63,16,44,0.364,8,15,0.533,114
1331,2020/12/23,DEN,,SAC,L 122-124 (OT),265,47,98,0.48,39,69,0.565,8,29,0.276,20,24,0.833,122,45,102,0.441,35,71,0.493,10,31,0.323,24,31,0.774,124
1332,2020/12/23,SAC,@,DEN,W 124-122 (OT),265,45,102,0.441,35,71,0.493,10,31,0.323,24,31,0.774,124,47,98,0.48,39,69,0.565,8,29,0.276,20,24,0.833,122
1333,2020/12/23,IND,,NYK,W 121-107,240,46,94,0.489,38,60,0.633,8,34,0.235,21,29,0.724,121,39,85,0.459,27,57,0.474,12,28,0.429,17,23,0.739,107
1334,2020/12/23,NYK,@,IND,L 107-121,240,39,85,0.459,27,57,0.474,12,28,0.429,17,23,0.739,107,46,94,0.489,38,60,0.633,8,34,0.235,21,29,0.724,121
1335,2020/12/23,MEM,,SAS,L 119-131,240,49,95,0.516,39,68,0.574,10,27,0.37,11,18,0.611,119,48,95,0.505,38,70,0.543,10,25,0.4,25,29,0.862,131
1336,2020/12/23,SAS,@,MEM,W 131-119,240,48,95,0.505,38,70,0.543,10,25,0.4,25,29,0.862,131,49,95,0.516,39,68,0.574,10,27,0.37,11,18,0.611,119
1337,2020/12/23,DET,@,MIN,L 101-111,240,45,93,0.484,37,58,0.638,8,35,0.229,3,8,0.375,101,38,88,0.432,27,47,0.574,11,41,0.268,24,28,0.857,111
1338,2020/12/23,MIN,,DET,W 111-101,240,38,88,0.432,27,47,0.574,11,41,0.268,24,28,0.857,111,45,93,0.484,37,58,0.638,8,35,0.229,3,8,0.375,101
1339,2020/12/23,MIA,@,ORL,L 107-113,240,42,83,0.506,35,63,0.556,7,20,0.35,16,19,0.842,107,42,88,0.477,32,60,0.533,10,28,0.357,19,30,0.633,113
1340,2020/12/23,ORL,,MIA,W 113-107,240,42,88,0.477,32,60,0.533,10,28,0.357,19,30,0.633,113,42,83,0.506,35,63,0.556,7,20,0.35,16,19,0.842,107
1341,2020/12/23,PHI,,WAS,W 113-107,240,41,87,0.471,33,59,0.559,8,28,0.286,23,30,0.767,113,39,85,0.459,26,58,0.448,13,27,0.481,16,23,0.696,107
1342,2020/12/23,WAS,@,PHI,L 107-113,240,39,85,0.459,26,58,0.448,13,27,0.481,16,23,0.696,107,41,87,0.471,33,59,0.559,8,28,0.286,23,30,0.767,113
1343,2020/12/23,DAL,@,PHO,L 102-106,240,36,85,0.424,27,48,0.563,9,37,0.243,21,26,0.808,102,38,79,0.481,27,49,0.551,11,30,0.367,19,27,0.704,106
1344,2020/12/23,PHO,,DAL,W 106-102,240,38,79,0.481,27,49,0.551,11,30,0.367,19,27,0.704,106,36,85,0.424,27,48,0.563,9,37,0.243,21,26,0.808,102
1345,2020/12/23,POR,,UTA,L 100-120,240,37,92,0.402,25,59,0.424,12,33,0.364,14,17,0.824,100,43,94,0.457,24,44,0.545,19,50,0.38,15,19,0.789,120
1346,2020/12/23,UTA,@,POR,W 120-100,240,43,94,0.457,24,44,0.545,19,50,0.38,15,19,0.789,120,37,92,0.402,25,59,0.424,12,33,0.364,14,17,0.824,100
1347,2020/12/23,NOP,@,TOR,W 113-99,240,42,80,0.525,23,38,0.605,19,42,0.452,10,20,0.5,113,38,89,0.427,24,43,0.558,14,46,0.304,9,12,0.75,99
1348,2020/12/23,TOR,,NOP,L 99-113,240,38,89,0.427,24,43,0.558,14,46,0.304,9,12,0.75,99,42,80,0.525,23,38,0.605,19,42,0.452,10,20,0.5,113
1349,2020/12/22,BRK,,GSW,W 125-99,240,42,92,0.457,27,57,0.474,15,35,0.429,26,32,0.813,125,37,99,0.374,27,66,0.409,10,33,0.303,15,23,0.652,99
1350,2020/12/22,GSW,@,BRK,L 99-125,240,37,99,0.374,27,66,0.409,10,33,0.303,15,23,0.652,99,42,92,0.457,27,57,0.474,15,35,0.429,26,32,0.813,125
1351,2020/12/22,LAC,@,LAL,W 116-109,240,44,93,0.473,30,53,0.566,14,40,0.35,14,19,0.737,116,38,81,0.469,29,52,0.558,9,29,0.31,24,31,0.774,109
1352,2020/12/22,LAL,,LAC,L 109-116,240,38,81,0.469,29,52,0.558,9,29,0.31,24,31,0.774,109,44,93,0.473,30,53,0.566,14,40,0.35,14,19,0.737,116
1353,2020/8/14,HOU,,PHI,L 96-134,240,35,80,0.438,23,32,0.719,12,48,0.25,14,16,0.875,96,49,87,0.563,31,49,0.633,18,38,0.474,18,22,0.818,134
