Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
701,2021/2/5,CLE,,MIL,L 105-123,240,41,92,0.446,30,60,0.5,11,32,0.344,12,16,0.75,105,50,97,0.515,43,75,0.573,7,22,0.318,16,22,0.727,123
702,2021/2/5,MIL,@,CLE,W 123-105,240,50,97,0.515,43,75,0.573,7,22,0.318,16,22,0.727,123,41,92,0.446,30,60,0.5,11,32,0.344,12,16,0.75,105
703,2021/2/5,IND,,NOP,L 113-114,240,41,93,0.441,21,51,0.412,20,42,0.476,11,16,0.688,113,41,76,0.539,28,51,0.549,13,25,0.52,19,26,0.731,114
704,2021/2/5,NOP,@,IND,W 114-113,240,41,76,0.539,28,51,0.549,13,25,0.52,19,26,0.731,114,41,93,0.441,21,51,0.412,20,42,0.476,11,16,0.688,113
705,2021/2/5,BOS,@,LAC,W 119-115,240,43,90,0.478,27,52,0.519,16,38,0.421,17,21,0.81,119,42,81,0.519,28,49,0.571,14,32,0.438,17,21,0.81,115
706,2021/2/5,LAC,,BOS,L 115-119,240,42,81,0.519,28,49,0.571,14,32,0.438,17,21,0.81,115,43,90,0.478,27,52,0.519,16,38,0.421,17,21,0.81,119
707,2021/2/5,MIA,,WAS,W 122-95,240,43,86,0.5,27,50,0.54,16,36,0.444,20,23,0.87,122,33,89,0.371,25,56,0.446,8,33,0.242,21,24,0.875,95
708,2021/2/5,WAS,@,MIA,L 95-122,240,33,89,0.371,25,56,0.446,8,33,0.242,21,24,0.875,95,43,86,0.5,27,50,0.54,16,36,0.444,20,23,0.87,122
709,2021/2/5,MIN,@,OKC,W 106-103,240,41,94,0.436,25,54,0.463,16,40,0.4,8,9,0.889,106,39,85,0.459,26,51,0.51,13,34,0.382,12,17,0.706,103
710,2021/2/5,OKC,,MIN,L 103-106,240,39,85,0.459,26,51,0.51,13,34,0.382,12,17,0.706,103,41,94,0.436,25,54,0.463,16,40,0.4,8,9,0.889,106
711,2021/2/5,CHI,@,ORL,L 119-123,240,46,96,0.479,37,66,0.561,9,30,0.3,18,20,0.9,119,42,81,0.519,31,54,0.574,11,27,0.407,28,37,0.757,123
712,2021/2/5,ORL,,CHI,W 123-119,240,42,81,0.519,31,54,0.574,11,27,0.407,28,37,0.757,123,46,96,0.479,37,66,0.561,9,30,0.3,18,20,0.9,119
713,2021/2/5,DET,@,PHO,L 92-109,240,34,91,0.374,27,55,0.491,7,36,0.194,17,28,0.607,92,42,85,0.494,30,53,0.566,12,32,0.375,13,16,0.813,109
714,2021/2/5,PHO,,DET,W 109-92,240,42,85,0.494,30,53,0.566,12,32,0.375,13,16,0.813,109,34,91,0.374,27,55,0.491,7,36,0.194,17,28,0.607,92
715,2021/2/4,ATL,,UTA,L 91-112,240,32,98,0.327,23,67,0.343,9,31,0.29,18,19,0.947,91,44,91,0.484,31,64,0.484,13,27,0.481,11,13,0.846,112
716,2021/2/4,UTA,@,ATL,W 112-91,240,44,91,0.484,31,64,0.484,13,27,0.481,11,13,0.846,112,32,98,0.327,23,67,0.343,9,31,0.29,18,19,0.947,91
717,2021/2/4,DAL,,GSW,L 116-147,240,38,92,0.413,18,42,0.429,20,50,0.4,20,23,0.87,116,51,89,0.573,29,46,0.63,22,43,0.512,23,27,0.852,147
718,2021/2/4,GSW,@,DAL,W 147-116,240,51,89,0.573,29,46,0.63,22,43,0.512,23,27,0.852,147,38,92,0.413,18,42,0.429,20,50,0.4,20,23,0.87,116
