Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
2401,2020/1/5,MIA,,POR,W 122-111,240,47,90,0.522,29,46,0.63,18,44,0.409,10,16,0.625,122,40,87,0.46,27,50,0.54,13,37,0.351,18,20,0.9,111
2402,2020/1/5,POR,@,MIA,L 111-122,240,40,87,0.46,27,50,0.54,13,37,0.351,18,20,0.9,111,47,90,0.522,29,46,0.63,18,44,0.409,10,16,0.625,122
2403,2020/1/5,MEM,@,PHO,W 121-114,240,45,83,0.542,27,41,0.659,18,42,0.429,13,17,0.765,121,43,95,0.453,37,69,0.536,6,26,0.231,22,26,0.846,114
2404,2020/1/5,PHO,,MEM,L 114-121,240,43,95,0.453,37,69,0.536,6,26,0.231,22,26,0.846,114,45,83,0.542,27,41,0.659,18,42,0.429,13,17,0.765,121
2405,2020/1/4,ATL,,IND,W 116-111,240,42,82,0.512,32,50,0.64,10,32,0.313,22,24,0.917,116,36,87,0.414,26,60,0.433,10,27,0.37,29,35,0.829,111
2406,2020/1/4,IND,@,ATL,L 111-116,240,36,87,0.414,26,60,0.433,10,27,0.37,29,35,0.829,111,42,82,0.512,32,50,0.64,10,32,0.313,22,24,0.917,116
2407,2020/1/4,BRK,,TOR,L 102-121,240,32,67,0.478,19,32,0.594,13,35,0.371,25,34,0.735,102,44,97,0.454,31,65,0.477,13,32,0.406,20,28,0.714,121
2408,2020/1/4,TOR,@,BRK,W 121-102,240,44,97,0.454,31,65,0.477,13,32,0.406,20,28,0.714,121,32,67,0.478,19,32,0.594,13,35,0.371,25,34,0.735,102
2409,2020/1/4,BOS,@,CHI,W 111-104,240,43,82,0.524,35,63,0.556,8,19,0.421,17,21,0.81,111,34,80,0.425,21,46,0.457,13,34,0.382,23,31,0.742,104
2410,2020/1/4,CHI,,BOS,L 104-111,240,34,80,0.425,21,46,0.457,13,34,0.382,23,31,0.742,104,43,82,0.524,35,63,0.556,8,19,0.421,17,21,0.81,111
