Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1201,2021/1/1,CHO,,MEM,L 93-108,240,35,86,0.407,26,55,0.473,9,31,0.29,14,21,0.667,93,43,90,0.478,29,51,0.569,14,39,0.359,8,10,0.8,108
1202,2021/1/1,MEM,@,CHO,W 108-93,240,43,90,0.478,29,51,0.569,14,39,0.359,8,10,0.8,108,35,86,0.407,26,55,0.473,9,31,0.29,14,21,0.667,93
1203,2021/1/1,DAL,,MIA,W 93-83,240,32,78,0.41,20,41,0.488,12,37,0.324,17,23,0.739,93,29,78,0.372,22,45,0.489,7,33,0.212,18,25,0.72,83
1204,2021/1/1,MIA,@,DAL,L 83-93,240,29,78,0.372,22,45,0.489,7,33,0.212,18,25,0.72,83,32,78,0.41,20,41,0.488,12,37,0.324,17,23,0.739,93
1205,2021/1/1,DEN,,PHO,L 103-106,240,39,86,0.453,27,57,0.474,12,29,0.414,13,16,0.813,103,37,76,0.487,24,41,0.585,13,35,0.371,19,21,0.905,106
1206,2021/1/1,PHO,@,DEN,W 106-103,240,37,76,0.487,24,41,0.585,13,35,0.371,19,21,0.905,106,39,86,0.453,27,57,0.474,12,29,0.414,13,16,0.813,103
1207,2021/1/1,BOS,@,DET,L 93-96,240,39,83,0.47,31,52,0.596,8,31,0.258,7,14,0.5,93,36,88,0.409,25,54,0.463,11,34,0.324,13,20,0.65,96
1208,2021/1/1,DET,,BOS,W 96-93,240,36,88,0.409,25,54,0.463,11,34,0.324,13,20,0.65,96,39,83,0.47,31,52,0.596,8,31,0.258,7,14,0.5,93
1209,2021/1/1,GSW,,POR,L 98-123,240,31,79,0.392,24,44,0.545,7,35,0.2,29,33,0.879,98,40,92,0.435,20,49,0.408,20,43,0.465,23,30,0.767,123
1210,2021/1/1,POR,@,GSW,W 123-98,240,40,92,0.435,20,49,0.408,20,43,0.465,23,30,0.767,123,31,79,0.392,24,44,0.545,7,35,0.2,29,33,0.879,98
