Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1501,2020/8/2,DAL,@,PHO,L 115-117,240,38,93,0.409,32,62,0.516,6,31,0.194,33,37,0.892,115,42,93,0.452,30,60,0.5,12,33,0.364,21,23,0.913,117
1502,2020/8/2,PHO,,DAL,W 117-115,240,42,93,0.452,30,60,0.5,12,33,0.364,21,23,0.913,117,38,93,0.409,32,62,0.516,6,31,0.194,33,37,0.892,115
1503,2020/8/1,DEN,,MIA,L 105-125,240,39,89,0.438,31,54,0.574,8,35,0.229,19,24,0.792,105,40,72,0.556,27,43,0.628,13,29,0.448,32,37,0.865,125
1504,2020/8/1,MIA,@,DEN,W 125-105,240,40,72,0.556,27,43,0.628,13,29,0.448,32,37,0.865,125,39,89,0.438,31,54,0.574,8,35,0.229,19,24,0.792,105
1505,2020/8/1,IND,,PHI,W 127-121,240,48,95,0.505,34,61,0.557,14,34,0.412,17,23,0.739,127,46,93,0.495,37,68,0.544,9,25,0.36,20,25,0.8,121
1506,2020/8/1,PHI,@,IND,L 121-127,240,46,93,0.495,37,68,0.544,9,25,0.36,20,25,0.8,121,48,95,0.505,34,61,0.557,14,34,0.412,17,23,0.739,127
1507,2020/8/1,LAC,,NOP,W 126-103,240,37,87,0.425,12,40,0.3,25,47,0.532,27,35,0.771,126,38,85,0.447,29,55,0.527,9,30,0.3,18,28,0.643,103
1508,2020/8/1,NOP,@,LAC,L 103-126,240,38,85,0.447,29,55,0.527,9,30,0.3,18,28,0.643,103,37,87,0.425,12,40,0.3,25,47,0.532,27,35,0.771,126
1509,2020/8/1,OKC,,UTA,W 110-94,240,41,77,0.532,31,51,0.608,10,26,0.385,18,24,0.75,110,34,87,0.391,26,56,0.464,8,31,0.258,18,22,0.818,94
1510,2020/8/1,UTA,@,OKC,L 94-110,240,34,87,0.391,26,56,0.464,8,31,0.258,18,22,0.818,94,41,77,0.532,31,51,0.608,10,26,0.385,18,24,0.75,110
1511,2020/8/1,LAL,@,TOR,L 92-107,240,29,82,0.354,19,42,0.452,10,40,0.25,24,33,0.727,92,35,84,0.417,21,50,0.42,14,34,0.412,23,26,0.885,107
1512,2020/8/1,TOR,,LAL,W 107-92,240,35,84,0.417,21,50,0.42,14,34,0.412,23,26,0.885,107,29,82,0.354,19,42,0.452,10,40,0.25,24,33,0.727,92
1513,2020/7/31,BRK,,ORL,L 118-128,240,44,91,0.484,31,49,0.633,13,42,0.31,17,23,0.739,118,46,87,0.529,35,56,0.625,11,31,0.355,25,28,0.893,128
1514,2020/7/31,ORL,@,BRK,W 128-118,240,46,87,0.529,35,56,0.625,11,31,0.355,25,28,0.893,128,44,91,0.484,31,49,0.633,13,42,0.31,17,23,0.739,118
1515,2020/7/31,DAL,,HOU,L 149-153 (OT),265,50,105,0.476,29,56,0.518,21,49,0.429,28,38,0.737,149,52,101,0.515,33,53,0.623,19,48,0.396,30,39,0.769,153
1516,2020/7/31,HOU,@,DAL,W 153-149 (OT),265,52,101,0.515,33,53,0.623,19,48,0.396,30,39,0.769,153,50,105,0.476,29,56,0.518,21,49,0.429,28,38,0.737,149
1517,2020/7/31,BOS,@,MIL,L 112-119,240,37,91,0.407,26,54,0.481,11,37,0.297,27,34,0.794,112,39,84,0.464,26,43,0.605,13,41,0.317,28,34,0.824,119
1518,2020/7/31,MIL,,BOS,W 119-112,240,39,84,0.464,26,43,0.605,13,41,0.317,28,34,0.824,119,37,91,0.407,26,54,0.481,11,37,0.297,27,34,0.794,112
1519,2020/7/31,MEM,@,POR,L 135-140 (OT),265,42,93,0.452,29,52,0.558,13,41,0.317,38,50,0.76,135,49,91,0.538,36,61,0.59,13,30,0.433,29,34,0.853,140
1520,2020/7/31,POR,,MEM,W 140-135 (OT),265,49,91,0.538,36,61,0.59,13,30,0.433,29,34,0.853,140,42,93,0.452,29,52,0.558,13,41,0.317,38,50,0.76,135
1521,2020/7/31,SAC,@,SAS,L 120-129,240,46,95,0.484,34,57,0.596,12,38,0.316,16,20,0.8,120,48,90,0.533,37,65,0.569,11,25,0.44,22,27,0.815,129
1522,2020/7/31,SAS,,SAC,W 129-120,240,48,90,0.533,37,65,0.569,11,25,0.44,22,27,0.815,129,46,95,0.484,34,57,0.596,12,38,0.316,16,20,0.8,120
1523,2020/7/31,PHO,@,WAS,W 125-112,240,42,80,0.525,31,48,0.646,11,32,0.344,30,32,0.938,125,42,91,0.462,34,69,0.493,8,22,0.364,20,23,0.87,112
1524,2020/7/31,WAS,,PHO,L 112-125,240,42,91,0.462,34,69,0.493,8,22,0.364,20,23,0.87,112,42,80,0.525,31,48,0.646,11,32,0.344,30,32,0.938,125
1525,2020/7/30,LAC,@,LAL,L 101-103,240,32,74,0.432,16,38,0.421,16,36,0.444,21,28,0.75,101,32,82,0.39,21,46,0.457,11,36,0.306,28,37,0.757,103
1526,2020/7/30,LAL,,LAC,W 103-101,240,32,82,0.39,21,46,0.457,11,36,0.306,28,37,0.757,103,32,74,0.432,16,38,0.421,16,36,0.444,21,28,0.75,101
1527,2020/7/30,NOP,,UTA,L 104-106,240,40,94,0.426,29,63,0.46,11,31,0.355,13,18,0.722,104,37,84,0.44,29,50,0.58,8,34,0.235,24,28,0.857,106
1528,2020/7/30,UTA,@,NOP,W 106-104,240,37,84,0.44,29,50,0.58,8,34,0.235,24,28,0.857,106,40,94,0.426,29,63,0.46,11,31,0.355,13,18,0.722,104
1529,2020/3/11,ATL,,NYK,L 131-136 (OT),265,48,106,0.453,34,65,0.523,14,41,0.341,21,26,0.808,131,50,94,0.532,39,66,0.591,11,28,0.393,25,34,0.735,136
1530,2020/3/11,NYK,@,ATL,W 136-131 (OT),265,50,94,0.532,39,66,0.591,11,28,0.393,25,34,0.735,136,48,106,0.453,34,65,0.523,14,41,0.341,21,26,0.808,131
1531,2020/3/11,DAL,,DEN,W 113-97,240,42,92,0.457,30,57,0.526,12,35,0.343,17,23,0.739,113,39,83,0.47,25,44,0.568,14,39,0.359,5,8,0.625,97
1532,2020/3/11,DEN,@,DAL,L 97-113,240,39,83,0.47,25,44,0.568,14,39,0.359,5,8,0.625,97,42,92,0.457,30,57,0.526,12,35,0.343,17,23,0.739,113
1533,2020/3/11,CHO,@,MIA,W 109-98,240,37,82,0.451,20,48,0.417,17,34,0.5,18,22,0.818,109,39,84,0.464,24,40,0.6,15,44,0.341,5,6,0.833,98
1534,2020/3/11,MIA,,CHO,L 98-109,240,39,84,0.464,24,40,0.6,15,44,0.341,5,6,0.833,98,37,82,0.451,20,48,0.417,17,34,0.5,18,22,0.818,109
1535,2020/3/11,DET,@,PHI,L 106-124,240,39,84,0.464,28,49,0.571,11,35,0.314,17,25,0.68,106,42,83,0.506,28,50,0.56,14,33,0.424,26,32,0.813,124
1536,2020/3/11,PHI,,DET,W 124-106,240,42,83,0.506,28,50,0.56,14,33,0.424,26,32,0.813,124,39,84,0.464,28,49,0.571,11,35,0.314,17,25,0.68,106
1537,2020/3/10,CHI,,CLE,W 108-103,240,42,84,0.5,30,50,0.6,12,34,0.353,12,15,0.8,108,40,80,0.5,34,56,0.607,6,24,0.25,17,23,0.739,103
1538,2020/3/10,CLE,@,CHI,L 103-108,240,40,80,0.5,34,56,0.607,6,24,0.25,17,23,0.739,103,42,84,0.5,30,50,0.6,12,34,0.353,12,15,0.8,108
1539,2020/3/10,GSW,,LAC,L 107-131,240,37,79,0.468,26,41,0.634,11,38,0.289,22,27,0.815,107,46,92,0.5,26,48,0.542,20,44,0.455,19,19,1,131
1540,2020/3/10,LAC,@,GSW,W 131-107,240,46,92,0.5,26,48,0.542,20,44,0.455,19,19,1,131,37,79,0.468,26,41,0.634,11,38,0.289,22,27,0.815,107
1541,2020/3/10,HOU,,MIN,W 117-111,240,41,80,0.513,26,42,0.619,15,38,0.395,20,26,0.769,117,40,83,0.482,26,48,0.542,14,35,0.4,17,23,0.739,111
1542,2020/3/10,MIN,@,HOU,L 111-117,240,40,83,0.482,26,48,0.542,14,35,0.4,17,23,0.739,111,41,80,0.513,26,42,0.619,15,38,0.395,20,26,0.769,117
1543,2020/3/10,BOS,@,IND,W 114-111,240,41,93,0.441,28,56,0.5,13,37,0.351,19,22,0.864,114,46,93,0.495,37,69,0.536,9,24,0.375,10,11,0.909,111
1544,2020/3/10,IND,,BOS,L 111-114,240,46,93,0.495,37,69,0.536,9,24,0.375,10,11,0.909,111,41,93,0.441,28,56,0.5,13,37,0.351,19,22,0.864,114
