Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
2301,2020/1/12,SAS,@,TOR,W 105-104,240,38,87,0.437,31,55,0.564,7,32,0.219,22,30,0.733,105,39,96,0.406,22,48,0.458,17,48,0.354,9,11,0.818,104
2302,2020/1/12,TOR,,SAS,L 104-105,240,39,96,0.406,22,48,0.458,17,48,0.354,9,11,0.818,104,38,87,0.437,31,55,0.564,7,32,0.219,22,30,0.733,105
2303,2020/1/12,UTA,@,WAS,W 127-116,240,48,90,0.533,38,60,0.633,10,30,0.333,21,25,0.84,127,47,93,0.505,40,71,0.563,7,22,0.318,15,17,0.882,116
2304,2020/1/12,WAS,,UTA,L 116-127,240,47,93,0.505,40,71,0.563,7,22,0.318,15,17,0.882,116,48,90,0.533,38,60,0.633,10,30,0.333,21,25,0.84,127
2305,2020/1/11,BOS,,NOP,W 140-105,240,55,100,0.55,41,71,0.577,14,29,0.483,16,18,0.889,140,40,100,0.4,26,55,0.473,14,45,0.311,11,18,0.611,105
2306,2020/1/11,NOP,@,BOS,L 105-140,240,40,100,0.4,26,55,0.473,14,45,0.311,11,18,0.611,105,55,100,0.55,41,71,0.577,14,29,0.483,16,18,0.889,140
2307,2020/1/11,DAL,,PHI,W 109-91,240,40,79,0.506,29,52,0.558,11,27,0.407,18,27,0.667,109,37,98,0.378,28,61,0.459,9,37,0.243,8,12,0.667,91
2308,2020/1/11,PHI,@,DAL,L 91-109,240,37,98,0.378,28,61,0.459,9,37,0.243,8,12,0.667,91,40,79,0.506,29,52,0.558,11,27,0.407,18,27,0.667,109
2309,2020/1/11,CLE,@,DEN,W 111-103,240,44,89,0.494,32,52,0.615,12,37,0.324,11,13,0.846,111,41,95,0.432,33,56,0.589,8,39,0.205,13,18,0.722,103
2310,2020/1/11,DEN,,CLE,L 103-111,240,41,95,0.432,33,56,0.589,8,39,0.205,13,18,0.722,103,44,89,0.494,32,52,0.615,12,37,0.324,11,13,0.846,111
2311,2020/1/11,CHI,@,DET,W 108-99,240,42,83,0.506,31,48,0.646,11,35,0.314,13,14,0.929,108,36,78,0.462,27,50,0.54,9,28,0.321,18,27,0.667,99
2312,2020/1/11,DET,,CHI,L 99-108,240,36,78,0.462,27,50,0.54,9,28,0.321,18,27,0.667,99,42,83,0.506,31,48,0.646,11,35,0.314,13,14,0.929,108
2313,2020/1/11,HOU,,MIN,W 139-109,240,49,95,0.516,31,50,0.62,18,45,0.4,23,29,0.793,139,36,95,0.379,23,47,0.489,13,48,0.271,24,36,0.667,109
2314,2020/1/11,MIN,@,HOU,L 109-139,240,36,95,0.379,23,47,0.489,13,48,0.271,24,36,0.667,109,49,95,0.516,31,50,0.62,18,45,0.4,23,29,0.793,139
2315,2020/1/11,LAL,@,OKC,W 125-110,240,51,99,0.515,36,67,0.537,15,32,0.469,8,10,0.8,125,43,92,0.467,34,61,0.557,9,31,0.29,15,17,0.882,110
2316,2020/1/11,OKC,,LAL,L 110-125,240,43,92,0.467,34,61,0.557,9,31,0.29,15,17,0.882,110,51,99,0.515,36,67,0.537,15,32,0.469,8,10,0.8,125
2317,2020/1/11,MIL,@,POR,W 122-101,240,47,103,0.456,33,65,0.508,14,38,0.368,14,20,0.7,122,37,95,0.389,27,59,0.458,10,36,0.278,17,21,0.81,101
2318,2020/1/11,POR,,MIL,L 101-122,240,37,95,0.389,27,59,0.458,10,36,0.278,17,21,0.81,101,47,103,0.456,33,65,0.508,14,38,0.368,14,20,0.7,122
2319,2020/1/10,BRK,,MIA,W 117-113,240,45,93,0.484,30,49,0.612,15,44,0.341,12,19,0.632,117,44,85,0.518,37,56,0.661,7,29,0.241,18,21,0.857,113
2320,2020/1/10,MIA,@,BRK,L 113-117,240,44,85,0.518,37,56,0.661,7,29,0.241,18,21,0.857,113,45,93,0.484,30,49,0.612,15,44,0.341,12,19,0.632,117
