Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
2101,2020/1/26,SAS,,TOR,L 106-110,240,34,82,0.415,18,45,0.4,16,37,0.432,22,24,0.917,106,41,99,0.414,25,49,0.51,16,50,0.32,12,15,0.8,110
2102,2020/1/26,TOR,@,SAS,W 110-106,240,41,99,0.414,25,49,0.51,16,50,0.32,12,15,0.8,110,34,82,0.415,18,45,0.4,16,37,0.432,22,24,0.917,106
2103,2020/1/25,CHI,@,CLE,W 118-106,240,44,85,0.518,32,52,0.615,12,33,0.364,18,24,0.75,118,42,84,0.5,29,54,0.537,13,30,0.433,9,11,0.818,106
2104,2020/1/25,CLE,,CHI,L 106-118,240,42,84,0.5,29,54,0.537,13,30,0.433,9,11,0.818,106,44,85,0.518,32,52,0.615,12,33,0.364,18,24,0.75,118
2105,2020/1/25,BRK,@,DET,W 121-111 (OT),265,42,94,0.447,27,52,0.519,15,42,0.357,22,25,0.88,121,43,104,0.413,30,69,0.435,13,35,0.371,12,18,0.667,111
2106,2020/1/25,DET,,BRK,L 111-121 (OT),265,43,104,0.413,30,69,0.435,13,35,0.371,12,18,0.667,111,42,94,0.447,27,52,0.519,15,42,0.357,22,25,0.88,121
2107,2020/1/25,MIN,,OKC,L 104-113,240,40,90,0.444,28,47,0.596,12,43,0.279,12,18,0.667,104,39,80,0.488,28,56,0.5,11,24,0.458,24,25,0.96,113
2108,2020/1/25,OKC,@,MIN,W 113-104,240,39,80,0.488,28,56,0.5,11,24,0.458,24,25,0.96,113,40,90,0.444,28,47,0.596,12,43,0.279,12,18,0.667,104
2109,2020/1/25,LAL,@,PHI,L 91-108,240,35,76,0.461,29,45,0.644,6,31,0.194,15,23,0.652,91,41,78,0.526,28,41,0.683,13,37,0.351,13,19,0.684,108
2110,2020/1/25,PHI,,LAL,W 108-91,240,41,78,0.526,28,41,0.683,13,37,0.351,13,19,0.684,108,35,76,0.461,29,45,0.644,6,31,0.194,15,23,0.652,91
