Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
901,2021/1/23,MIN,,NOP,W 120-110,240,39,91,0.429,27,57,0.474,12,34,0.353,30,37,0.811,120,40,87,0.46,30,54,0.556,10,33,0.303,20,28,0.714,110
902,2021/1/23,NOP,@,MIN,L 110-120,240,40,87,0.46,30,54,0.556,10,33,0.303,20,28,0.714,110,39,91,0.429,27,57,0.474,12,34,0.353,30,37,0.811,120
903,2021/1/23,DEN,@,PHO,W 120-112 (2OT),290,40,97,0.412,25,61,0.41,15,36,0.417,25,32,0.781,120,41,102,0.402,25,49,0.51,16,53,0.302,14,18,0.778,112
904,2021/1/23,PHO,,DEN,L 112-120 (2OT),290,41,102,0.402,25,49,0.51,16,53,0.302,14,18,0.778,112,40,97,0.412,25,61,0.41,15,36,0.417,25,32,0.781,120
905,2021/1/23,GSW,@,UTA,L 108-127,240,42,93,0.452,28,54,0.519,14,39,0.359,10,15,0.667,108,45,94,0.479,25,44,0.568,20,50,0.4,17,22,0.773,127
906,2021/1/23,UTA,,GSW,W 127-108,240,45,94,0.479,25,44,0.568,20,50,0.4,17,22,0.773,127,42,93,0.452,28,54,0.519,14,39,0.359,10,15,0.667,108
907,2021/1/22,CHI,@,CHO,W 123-110,240,49,96,0.51,34,53,0.642,15,43,0.349,10,12,0.833,123,42,85,0.494,35,53,0.66,7,32,0.219,19,25,0.76,110
908,2021/1/22,CHO,,CHI,L 110-123,240,42,85,0.494,35,53,0.66,7,32,0.219,19,25,0.76,110,49,96,0.51,34,53,0.642,15,43,0.349,10,12,0.833,123
909,2021/1/22,BRK,@,CLE,L 113-125,240,42,87,0.483,28,44,0.636,14,43,0.326,15,17,0.882,113,45,87,0.517,37,62,0.597,8,25,0.32,27,32,0.844,125
910,2021/1/22,CLE,,BRK,W 125-113,240,45,87,0.517,37,62,0.597,8,25,0.32,27,32,0.844,125,42,87,0.483,28,44,0.636,14,43,0.326,15,17,0.882,113
911,2021/1/22,DET,,HOU,L 102-103,240,31,82,0.378,16,50,0.32,15,32,0.469,25,37,0.676,102,37,95,0.389,23,54,0.426,14,41,0.341,15,20,0.75,103
912,2021/1/22,HOU,@,DET,W 103-102,240,37,95,0.389,23,54,0.426,14,41,0.341,15,20,0.75,103,31,82,0.378,16,50,0.32,15,32,0.469,25,37,0.676,102
913,2021/1/22,IND,,ORL,W 120-118 (OT),265,46,93,0.495,34,59,0.576,12,34,0.353,16,18,0.889,120,43,94,0.457,26,57,0.456,17,37,0.459,15,24,0.625,118
914,2021/1/22,ORL,@,IND,L 118-120 (OT),265,43,94,0.457,26,57,0.456,17,37,0.459,15,24,0.625,118,46,93,0.495,34,59,0.576,12,34,0.353,16,18,0.889,120
915,2021/1/22,LAC,,OKC,W 120-106,240,43,84,0.512,33,51,0.647,10,33,0.303,24,25,0.96,120,41,87,0.471,27,45,0.6,14,42,0.333,10,13,0.769,106
916,2021/1/22,OKC,@,LAC,L 106-120,240,41,87,0.471,27,45,0.6,14,42,0.333,10,13,0.769,106,43,84,0.512,33,51,0.647,10,33,0.303,24,25,0.96,120
917,2021/1/22,ATL,@,MIN,W 116-98,240,38,83,0.458,23,48,0.479,15,35,0.429,25,30,0.833,116,40,93,0.43,32,61,0.525,8,32,0.25,10,12,0.833,98
918,2021/1/22,MIN,,ATL,L 98-116,240,40,93,0.43,32,61,0.525,8,32,0.25,10,12,0.833,98,38,83,0.458,23,48,0.479,15,35,0.429,25,30,0.833,116
919,2021/1/22,BOS,@,PHI,L 110-122,240,41,90,0.456,29,60,0.483,12,30,0.4,16,20,0.8,110,45,81,0.556,33,53,0.623,12,28,0.429,20,24,0.833,122
920,2021/1/22,PHI,,BOS,W 122-110,240,45,81,0.556,33,53,0.623,12,28,0.429,20,24,0.833,122,41,90,0.456,29,60,0.483,12,30,0.4,16,20,0.8,110
921,2021/1/22,DEN,@,PHO,W 130-126 (OT),265,53,103,0.515,47,77,0.61,6,26,0.231,18,19,0.947,130,47,94,0.5,30,50,0.6,17,44,0.386,15,15,1,126
922,2021/1/22,PHO,,DEN,L 126-130 (OT),265,47,94,0.5,30,50,0.6,17,44,0.386,15,15,1,126,53,103,0.515,47,77,0.61,6,26,0.231,18,19,0.947,130
923,2021/1/22,NYK,@,SAC,L 94-103,240,36,94,0.383,31,72,0.431,5,22,0.227,17,25,0.68,94,38,91,0.418,26,57,0.456,12,34,0.353,15,21,0.714,103
