Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1701,2020/2/28,ATL,,BRK,W 141-118,240,50,97,0.515,31,58,0.534,19,39,0.487,22,30,0.733,141,42,92,0.457,24,46,0.522,18,46,0.391,16,21,0.762,118
1702,2020/2/28,BRK,@,ATL,L 118-141,240,42,92,0.457,24,46,0.522,18,46,0.391,16,21,0.762,118,50,97,0.515,31,58,0.534,19,39,0.487,22,30,0.733,141
1703,2020/2/28,DEN,@,LAC,L 103-132,240,41,91,0.451,32,66,0.485,9,25,0.36,12,16,0.75,103,48,89,0.539,30,50,0.6,18,39,0.462,18,20,0.9,132
1704,2020/2/28,LAC,,DEN,W 132-103,240,48,89,0.539,30,50,0.6,18,39,0.462,18,20,0.9,132,41,91,0.451,32,66,0.485,9,25,0.36,12,16,0.75,103
1705,2020/2/28,MEM,,SAC,L 101-104,240,39,91,0.429,31,61,0.508,8,30,0.267,15,20,0.75,101,38,91,0.418,27,53,0.509,11,38,0.289,17,21,0.81,104
1706,2020/2/28,SAC,@,MEM,W 104-101,240,38,91,0.418,27,53,0.509,11,38,0.289,17,21,0.81,104,39,91,0.429,31,61,0.508,8,30,0.267,15,20,0.75,101
1707,2020/2/28,DAL,@,MIA,L 118-126,240,40,84,0.476,19,34,0.559,21,50,0.42,17,19,0.895,118,41,79,0.519,24,44,0.545,17,35,0.486,27,36,0.75,126
1708,2020/2/28,MIA,,DAL,W 126-118,240,41,79,0.519,24,44,0.545,17,35,0.486,27,36,0.75,126,40,84,0.476,19,34,0.559,21,50,0.42,17,19,0.895,118
1709,2020/2/28,MIL,,OKC,W 133-86,240,50,100,0.5,29,55,0.527,21,45,0.467,12,14,0.857,133,33,91,0.363,27,56,0.482,6,35,0.171,14,20,0.7,86
1710,2020/2/28,OKC,@,MIL,L 86-133,240,33,91,0.363,27,56,0.482,6,35,0.171,14,20,0.7,86,50,100,0.5,29,55,0.527,21,45,0.467,12,14,0.857,133
1711,2020/2/28,CLE,@,NOP,L 104-116,240,43,95,0.453,32,64,0.5,11,31,0.355,7,12,0.583,104,48,88,0.545,39,65,0.6,9,23,0.391,11,15,0.733,116
1712,2020/2/28,NOP,,CLE,W 116-104,240,48,88,0.545,39,65,0.6,9,23,0.391,11,15,0.733,116,43,95,0.453,32,64,0.5,11,31,0.355,7,12,0.583,104
1713,2020/2/28,MIN,@,ORL,L 125-136,240,46,95,0.484,29,51,0.569,17,44,0.386,16,24,0.667,125,53,98,0.541,41,58,0.707,12,40,0.3,18,22,0.818,136
1714,2020/2/28,ORL,,MIN,W 136-125,240,53,98,0.541,41,58,0.707,12,40,0.3,18,22,0.818,136,46,95,0.484,29,51,0.569,17,44,0.386,16,24,0.667,125
1715,2020/2/28,DET,@,PHO,W 113-111,240,44,90,0.489,31,58,0.534,13,32,0.406,12,16,0.75,113,45,75,0.6,36,52,0.692,9,23,0.391,12,17,0.706,111
1716,2020/2/28,PHO,,DET,L 111-113,240,45,75,0.6,36,52,0.692,9,23,0.391,12,17,0.706,111,44,90,0.489,31,58,0.534,13,32,0.406,12,16,0.75,113
1717,2020/2/28,CHO,@,TOR,W 99-96,240,34,78,0.436,21,48,0.438,13,30,0.433,18,25,0.72,99,33,95,0.347,23,52,0.442,10,43,0.233,20,29,0.69,96
1718,2020/2/28,TOR,,CHO,L 96-99,240,33,95,0.347,23,52,0.442,10,43,0.233,20,29,0.69,96,34,78,0.436,21,48,0.438,13,30,0.433,18,25,0.72,99
