Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1801,2020/2/22,MIL,,PHI,W 119-98,240,48,91,0.527,34,50,0.68,14,41,0.341,9,13,0.692,119,35,99,0.354,22,61,0.361,13,38,0.342,15,18,0.833,98
1802,2020/2/22,PHI,@,MIL,L 98-119,240,35,99,0.354,22,61,0.361,13,38,0.342,15,18,0.833,98,48,91,0.527,34,50,0.68,14,41,0.341,9,13,0.692,119
1803,2020/2/22,HOU,@,UTA,W 120-110,240,45,92,0.489,25,44,0.568,20,48,0.417,10,14,0.714,120,42,90,0.467,35,59,0.593,7,31,0.226,19,24,0.792,110
1804,2020/2/22,UTA,,HOU,L 110-120,240,42,90,0.467,35,59,0.593,7,31,0.226,19,24,0.792,110,45,92,0.489,25,44,0.568,20,48,0.417,10,14,0.714,120
1805,2020/2/21,LAL,,MEM,W 117-105,240,41,86,0.477,32,57,0.561,9,29,0.31,26,40,0.65,117,42,92,0.457,37,77,0.481,5,15,0.333,16,31,0.516,105
1806,2020/2/21,MEM,@,LAL,L 105-117,240,42,92,0.457,37,77,0.481,5,15,0.333,16,31,0.516,105,41,86,0.477,32,57,0.561,9,29,0.31,26,40,0.65,117
1807,2020/2/21,BOS,@,MIN,W 127-117,240,44,95,0.463,34,66,0.515,10,29,0.345,29,37,0.784,127,36,89,0.404,21,47,0.447,15,42,0.357,30,35,0.857,117
1808,2020/2/21,MIN,,BOS,L 117-127,240,36,89,0.404,21,47,0.447,15,42,0.357,30,35,0.857,117,44,95,0.463,34,66,0.515,10,29,0.345,29,37,0.784,127
1809,2020/2/21,IND,@,NYK,W 106-98,240,36,88,0.409,28,60,0.467,8,28,0.286,26,33,0.788,106,35,81,0.432,24,56,0.429,11,25,0.44,17,25,0.68,98
1810,2020/2/21,NYK,,IND,L 98-106,240,35,81,0.432,24,56,0.429,11,25,0.44,17,25,0.68,98,36,88,0.409,28,60,0.467,8,28,0.286,26,33,0.788,106
1811,2020/2/21,DEN,@,OKC,L 101-113,240,37,77,0.481,31,50,0.62,6,27,0.222,21,23,0.913,101,40,87,0.46,31,61,0.508,9,26,0.346,24,27,0.889,113
1812,2020/2/21,OKC,,DEN,W 113-101,240,40,87,0.46,31,61,0.508,9,26,0.346,24,27,0.889,113,37,77,0.481,31,50,0.62,6,27,0.222,21,23,0.913,101
1813,2020/2/21,DAL,@,ORL,W 122-106,240,43,84,0.512,28,46,0.609,15,38,0.395,21,26,0.808,122,41,104,0.394,32,61,0.525,9,43,0.209,15,19,0.789,106
