Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
2001,2020/2/1,BOS,,PHI,W 116-95,240,38,80,0.475,30,50,0.6,8,30,0.267,32,41,0.78,116,31,84,0.369,24,51,0.471,7,33,0.212,26,31,0.839,95
2002,2020/2/1,PHI,@,BOS,L 95-116,240,31,84,0.369,24,51,0.471,7,33,0.212,26,31,0.839,95,38,80,0.475,30,50,0.6,8,30,0.267,32,41,0.78,116
2003,2020/2/1,CLE,,GSW,L 112-131,240,41,95,0.432,25,51,0.49,16,44,0.364,14,14,1,112,48,90,0.533,30,55,0.545,18,35,0.514,17,19,0.895,131
2004,2020/2/1,GSW,@,CLE,W 131-112,240,48,90,0.533,30,55,0.545,18,35,0.514,17,19,0.895,131,41,95,0.432,25,51,0.49,16,44,0.364,14,14,1,112
2005,2020/2/1,ATL,@,DAL,L 100-123,240,37,91,0.407,27,58,0.466,10,33,0.303,16,21,0.762,100,44,94,0.468,24,55,0.436,20,39,0.513,15,16,0.938,123
2006,2020/2/1,DAL,,ATL,W 123-100,240,44,94,0.468,24,55,0.436,20,39,0.513,15,16,0.938,123,37,91,0.407,27,58,0.466,10,33,0.303,16,21,0.762,100
2007,2020/2/1,IND,,NYK,L 85-92,240,32,76,0.421,24,52,0.462,8,24,0.333,13,21,0.619,85,34,82,0.415,27,56,0.482,7,26,0.269,17,23,0.739,92
2008,2020/2/1,NYK,@,IND,W 92-85,240,34,82,0.415,27,56,0.482,7,26,0.269,17,23,0.739,92,32,76,0.421,24,52,0.462,8,24,0.333,13,21,0.619,85
2009,2020/2/1,LAC,,MIN,W 118-106,240,45,98,0.459,33,64,0.516,12,34,0.353,16,18,0.889,118,34,84,0.405,27,45,0.6,7,39,0.179,31,37,0.838,106
2010,2020/2/1,MIN,@,LAC,L 106-118,240,34,84,0.405,27,45,0.6,7,39,0.179,31,37,0.838,106,45,98,0.459,33,64,0.516,12,34,0.353,16,18,0.889,118
2011,2020/2/1,MIA,@,ORL,W 102-89,240,33,77,0.429,18,44,0.409,15,33,0.455,21,26,0.808,102,33,83,0.398,24,50,0.48,9,33,0.273,14,17,0.824,89
2012,2020/2/1,ORL,,MIA,L 89-102,240,33,83,0.398,24,50,0.48,9,33,0.273,14,17,0.824,89,33,77,0.429,18,44,0.409,15,33,0.455,21,26,0.808,102
2013,2020/2/1,POR,,UTA,W 124-107,240,47,92,0.511,32,63,0.508,15,29,0.517,15,18,0.833,124,40,94,0.426,22,53,0.415,18,41,0.439,9,9,1,107
2014,2020/2/1,UTA,@,POR,L 107-124,240,40,94,0.426,22,53,0.415,18,41,0.439,9,9,1,107,47,92,0.511,32,63,0.508,15,29,0.517,15,18,0.833,124
2015,2020/2/1,LAL,@,SAC,W 129-113,240,44,86,0.512,25,43,0.581,19,43,0.442,22,27,0.815,129,39,91,0.429,25,47,0.532,14,44,0.318,21,26,0.808,113
2016,2020/2/1,SAC,,LAL,L 113-129,240,39,91,0.429,25,47,0.532,14,44,0.318,21,26,0.808,113,44,86,0.512,25,43,0.581,19,43,0.442,22,27,0.815,129
2017,2020/2/1,CHO,@,SAS,L 90-114,240,35,83,0.422,25,47,0.532,10,36,0.278,10,12,0.833,90,45,87,0.517,35,59,0.593,10,28,0.357,14,21,0.667,114
2018,2020/2/1,SAS,,CHO,W 114-90,240,45,87,0.517,35,59,0.593,10,28,0.357,14,21,0.667,114,35,83,0.422,25,47,0.532,10,36,0.278,10,12,0.833,90
2019,2020/2/1,BRK,@,WAS,L 107-113,240,39,94,0.415,23,47,0.489,16,47,0.34,13,21,0.619,107,44,100,0.44,35,68,0.515,9,32,0.281,16,26,0.615,113
2020,2020/2/1,WAS,,BRK,W 113-107,240,44,100,0.44,35,68,0.515,9,32,0.281,16,26,0.615,113,39,94,0.415,23,47,0.489,16,47,0.34,13,21,0.619,107
2021,2020/1/31,BRK,,CHI,W 133-118,240,50,80,0.625,35,49,0.714,15,31,0.484,18,25,0.72,133,42,86,0.488,30,52,0.577,12,34,0.353,22,26,0.846,118
2022,2020/1/31,CHI,@,BRK,L 118-133,240,42,86,0.488,30,52,0.577,12,34,0.353,22,26,0.846,118,50,80,0.625,35,49,0.714,15,31,0.484,18,25,0.72,133
2023,2020/1/31,DET,,TOR,L 92-105,240,28,79,0.354,17,43,0.395,11,36,0.306,25,34,0.735,92,44,85,0.518,35,58,0.603,9,27,0.333,8,11,0.727,105
