Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
833,2021/1/27,CHO,,IND,L 106-116,240,37,90,0.411,24,52,0.462,13,38,0.342,19,21,0.905,106,45,88,0.511,29,48,0.604,16,40,0.4,10,12,0.833,116
834,2021/1/27,IND,@,CHO,W 116-106,240,45,88,0.511,29,48,0.604,16,40,0.4,10,12,0.833,116,37,90,0.411,24,52,0.462,13,38,0.342,19,21,0.905,106
835,2021/1/27,CLE,,DET,W 122-107,240,47,87,0.54,36,66,0.545,11,21,0.524,17,23,0.739,122,37,82,0.451,26,55,0.473,11,27,0.407,22,29,0.759,107
836,2021/1/27,DET,@,CLE,L 107-122,240,37,82,0.451,26,55,0.473,11,27,0.407,22,29,0.759,107,47,87,0.54,36,66,0.545,11,21,0.524,17,23,0.739,122
837,2021/1/27,GSW,,MIN,W 123-111,240,45,85,0.529,30,51,0.588,15,34,0.441,18,23,0.783,123,37,87,0.425,23,51,0.451,14,36,0.389,23,33,0.697,111
838,2021/1/27,MIN,@,GSW,L 111-123,240,37,87,0.425,23,51,0.451,14,36,0.389,23,33,0.697,111,45,85,0.529,30,51,0.588,15,34,0.441,18,23,0.783,123
839,2021/1/27,DEN,@,MIA,W 109-82,240,42,92,0.457,28,49,0.571,14,43,0.326,11,11,1,109,30,80,0.375,17,35,0.486,13,45,0.289,9,11,0.818,82
840,2021/1/27,MIA,,DEN,L 82-109,240,30,80,0.375,17,35,0.486,13,45,0.289,9,11,0.818,82,42,92,0.457,28,49,0.571,14,43,0.326,11,11,1,109
841,2021/1/27,NOP,,WAS,W 124-106,240,46,89,0.517,29,46,0.63,17,43,0.395,15,24,0.625,124,37,92,0.402,24,54,0.444,13,38,0.342,19,21,0.905,106
842,2021/1/27,WAS,@,NOP,L 106-124,240,37,92,0.402,24,54,0.444,13,38,0.342,19,21,0.905,106,46,89,0.517,29,46,0.63,17,43,0.395,15,24,0.625,124
843,2021/1/27,ORL,,SAC,L 107-121,240,40,96,0.417,30,70,0.429,10,26,0.385,17,18,0.944,107,45,92,0.489,31,59,0.525,14,33,0.424,17,26,0.654,121
844,2021/1/27,SAC,@,ORL,W 121-107,240,45,92,0.489,31,59,0.525,14,33,0.424,17,26,0.654,121,40,96,0.417,30,70,0.429,10,26,0.385,17,18,0.944,107
845,2021/1/27,LAL,@,PHI,L 106-107,240,41,86,0.477,33,62,0.532,8,24,0.333,16,25,0.64,106,41,85,0.482,32,60,0.533,9,25,0.36,16,26,0.615,107
846,2021/1/27,PHI,,LAL,W 107-106,240,41,85,0.482,32,60,0.533,9,25,0.36,16,26,0.615,107,41,86,0.477,33,62,0.532,8,24,0.333,16,25,0.64,106
847,2021/1/27,OKC,@,PHO,W 102-97,240,38,85,0.447,22,45,0.489,16,40,0.4,10,14,0.714,102,36,95,0.379,21,52,0.404,15,43,0.349,10,12,0.833,97
848,2021/1/27,PHO,,OKC,L 97-102,240,36,95,0.379,21,52,0.404,15,43,0.349,10,12,0.833,97,38,85,0.447,22,45,0.489,16,40,0.4,10,14,0.714,102
849,2021/1/27,BOS,@,SAS,L 106-110,240,42,98,0.429,32,68,0.471,10,30,0.333,12,14,0.857,106,46,82,0.561,38,54,0.704,8,28,0.286,10,16,0.625,110
850,2021/1/27,SAS,,BOS,W 110-106,240,46,82,0.561,38,54,0.704,8,28,0.286,10,16,0.625,110,42,98,0.429,32,68,0.471,10,30,0.333,12,14,0.857,106
851,2021/1/27,MIL,@,TOR,W 115-108,240,40,93,0.43,24,49,0.49,16,44,0.364,19,26,0.731,115,38,94,0.404,16,39,0.41,22,55,0.4,10,12,0.833,108
852,2021/1/27,TOR,,MIL,L 108-115,240,38,94,0.404,16,39,0.41,22,55,0.4,10,12,0.833,108,40,93,0.43,24,49,0.49,16,44,0.364,19,26,0.731,115
853,2021/1/27,DAL,@,UTA,L 104-116,240,42,91,0.462,30,56,0.536,12,35,0.343,8,9,0.889,104,42,91,0.462,26,50,0.52,16,41,0.39,16,21,0.762,116
854,2021/1/27,UTA,,DAL,W 116-104,240,42,91,0.462,26,50,0.52,16,41,0.39,16,21,0.762,116,42,91,0.462,30,56,0.536,12,35,0.343,8,9,0.889,104
855,2021/1/26,ATL,,LAC,W 108-99,240,37,80,0.463,27,54,0.5,10,26,0.385,24,25,0.96,108,36,89,0.404,28,63,0.444,8,26,0.308,19,22,0.864,99
856,2021/1/26,LAC,@,ATL,L 99-108,240,36,89,0.404,28,63,0.444,8,26,0.308,19,22,0.864,99,37,80,0.463,27,54,0.5,10,26,0.385,24,25,0.96,108
857,2021/1/26,HOU,,WAS,W 107-88,240,37,88,0.42,25,51,0.49,12,37,0.324,21,29,0.724,107,33,85,0.388,28,59,0.475,5,26,0.192,17,23,0.739,88
858,2021/1/26,WAS,@,HOU,L 88-107,240,33,85,0.388,28,59,0.475,5,26,0.192,17,23,0.739,88,37,88,0.42,25,51,0.49,12,37,0.324,21,29,0.724,107
859,2021/1/26,NYK,@,UTA,L 94-108,240,36,83,0.434,26,56,0.464,10,27,0.37,12,17,0.706,94,37,92,0.402,22,44,0.5,15,48,0.313,19,22,0.864,108
860,2021/1/26,UTA,,NYK,W 108-94,240,37,92,0.402,22,44,0.5,15,48,0.313,19,22,0.864,108,36,83,0.434,26,56,0.464,10,27,0.37,12,17,0.706,94
861,2021/1/25,BRK,,MIA,W 98-85,240,34,85,0.4,23,47,0.489,11,38,0.289,19,22,0.864,98,31,84,0.369,20,41,0.488,11,43,0.256,12,17,0.706,85
862,2021/1/25,MIA,@,BRK,L 85-98,240,31,84,0.369,20,41,0.488,11,43,0.256,12,17,0.706,85,34,85,0.4,23,47,0.489,11,38,0.289,19,22,0.864,98
863,2021/1/25,BOS,@,CHI,W 119-103,240,44,87,0.506,29,58,0.5,15,29,0.517,16,20,0.8,119,41,88,0.466,24,49,0.49,17,39,0.436,4,10,0.4,103
864,2021/1/25,CHI,,BOS,L 103-119,240,41,88,0.466,24,49,0.49,17,39,0.436,4,10,0.4,103,44,87,0.506,29,58,0.5,15,29,0.517,16,20,0.8,119
865,2021/1/25,CLE,,LAL,L 108-115,240,40,86,0.465,31,65,0.477,9,21,0.429,19,22,0.864,108,42,87,0.483,32,55,0.582,10,32,0.313,21,28,0.75,115
866,2021/1/25,LAL,@,CLE,W 115-108,240,42,87,0.483,32,55,0.582,10,32,0.313,21,28,0.75,115,40,86,0.465,31,65,0.477,9,21,0.429,19,22,0.864,108
867,2021/1/25,DAL,,DEN,L 113-117,240,41,84,0.488,30,52,0.577,11,32,0.344,20,24,0.833,113,40,79,0.506,25,44,0.568,15,35,0.429,22,28,0.786,117
868,2021/1/25,DEN,@,DAL,W 117-113,240,40,79,0.506,25,44,0.568,15,35,0.429,22,28,0.786,117,41,84,0.488,30,52,0.577,11,32,0.344,20,24,0.833,113
869,2021/1/25,DET,,PHI,W 119-104,240,35,70,0.5,18,32,0.563,17,38,0.447,32,38,0.842,119,40,94,0.426,31,66,0.47,9,28,0.321,15,20,0.75,104
870,2021/1/25,PHI,@,DET,L 104-119,240,40,94,0.426,31,66,0.47,9,28,0.321,15,20,0.75,104,35,70,0.5,18,32,0.563,17,38,0.447,32,38,0.842,119
871,2021/1/25,GSW,,MIN,W 130-108,240,44,89,0.494,30,59,0.508,14,30,0.467,28,37,0.757,130,39,94,0.415,31,70,0.443,8,24,0.333,22,25,0.88,108
872,2021/1/25,MIN,@,GSW,L 108-130,240,39,94,0.415,31,70,0.443,8,24,0.333,22,25,0.88,108,44,89,0.494,30,59,0.508,14,30,0.467,28,37,0.757,130
873,2021/1/25,IND,,TOR,W 129-114,240,40,78,0.513,28,49,0.571,12,29,0.414,37,45,0.822,129,38,93,0.409,24,55,0.436,14,38,0.368,24,27,0.889,114
874,2021/1/25,TOR,@,IND,L 114-129,240,38,93,0.409,24,55,0.436,14,38,0.368,24,27,0.889,114,40,78,0.513,28,49,0.571,12,29,0.414,37,45,0.822,129
875,2021/1/25,CHO,@,ORL,L 108-117,240,39,89,0.438,28,51,0.549,11,38,0.289,19,27,0.704,108,42,88,0.477,23,51,0.451,19,37,0.514,14,22,0.636,117
876,2021/1/25,ORL,,CHO,W 117-108,240,42,88,0.477,23,51,0.451,19,37,0.514,14,22,0.636,117,39,89,0.438,28,51,0.549,11,38,0.289,19,27,0.704,108
877,2021/1/25,OKC,@,POR,W 125-122,240,43,84,0.512,25,44,0.568,18,40,0.45,21,35,0.6,125,46,98,0.469,32,57,0.561,14,41,0.341,16,21,0.762,122
878,2021/1/25,POR,,OKC,L 122-125,240,46,98,0.469,32,57,0.561,14,41,0.341,16,21,0.762,122,43,84,0.512,25,44,0.568,18,40,0.45,21,35,0.6,125
879,2021/1/24,BOS,,CLE,W 141-103,240,52,93,0.559,38,65,0.585,14,28,0.5,23,27,0.852,141,34,85,0.4,24,52,0.462,10,33,0.303,25,34,0.735,103
880,2021/1/24,CLE,@,BOS,L 103-141,240,34,85,0.4,24,52,0.462,10,33,0.303,25,34,0.735,103,52,93,0.559,38,65,0.585,14,28,0.5,23,27,0.852,141
881,2021/1/24,IND,,TOR,L 102-107,240,35,87,0.402,22,48,0.458,13,39,0.333,19,22,0.864,102,37,90,0.411,22,55,0.4,15,35,0.429,18,26,0.692,107
882,2021/1/24,TOR,@,IND,W 107-102,240,37,90,0.411,22,55,0.4,15,35,0.429,18,26,0.692,107,35,87,0.402,22,48,0.458,13,39,0.333,19,22,0.864,102
883,2021/1/24,LAC,,OKC,W 108-100,240,41,92,0.446,27,46,0.587,14,46,0.304,12,16,0.75,108,42,95,0.442,35,60,0.583,7,35,0.2,9,14,0.643,100
884,2021/1/24,OKC,@,LAC,L 100-108,240,42,95,0.442,35,60,0.583,7,35,0.2,9,14,0.643,100,41,92,0.446,27,46,0.587,14,46,0.304,12,16,0.75,108
885,2021/1/24,ATL,@,MIL,L 115-129,240,42,83,0.506,28,44,0.636,14,39,0.359,17,22,0.773,115,50,91,0.549,40,60,0.667,10,31,0.323,19,27,0.704,129
886,2021/1/24,MIL,,ATL,W 129-115,240,50,91,0.549,40,60,0.667,10,31,0.323,19,27,0.704,129,42,83,0.506,28,44,0.636,14,39,0.359,17,22,0.773,115
887,2021/1/24,CHO,@,ORL,W 107-104,240,42,88,0.477,28,52,0.538,14,36,0.389,9,16,0.563,107,39,87,0.448,22,49,0.449,17,38,0.447,9,13,0.692,104
888,2021/1/24,ORL,,CHO,L 104-107,240,39,87,0.448,22,49,0.449,17,38,0.447,9,13,0.692,104,42,88,0.477,28,52,0.538,14,36,0.389,9,16,0.563,107
889,2021/1/24,NYK,@,POR,L 113-116,240,39,86,0.453,27,57,0.474,12,29,0.414,23,25,0.92,113,39,83,0.47,22,37,0.595,17,46,0.37,21,23,0.913,116
890,2021/1/24,POR,,NYK,W 116-113,240,39,83,0.47,22,37,0.595,17,46,0.37,21,23,0.913,116,39,86,0.453,27,57,0.474,12,29,0.414,23,25,0.92,113
891,2021/1/24,SAS,,WAS,W 121-101,240,48,96,0.5,33,65,0.508,15,31,0.484,10,11,0.909,121,39,92,0.424,25,50,0.5,14,42,0.333,9,14,0.643,101
892,2021/1/24,WAS,@,SAS,L 101-121,240,39,92,0.424,25,50,0.5,14,42,0.333,9,14,0.643,101,48,96,0.5,33,65,0.508,15,31,0.484,10,11,0.909,121
893,2021/1/23,BRK,,MIA,W 128-124,240,44,83,0.53,25,46,0.543,19,37,0.514,21,26,0.808,128,42,89,0.472,29,43,0.674,13,46,0.283,27,32,0.844,124
894,2021/1/23,MIA,@,BRK,L 124-128,240,42,89,0.472,29,43,0.674,13,46,0.283,27,32,0.844,124,44,83,0.53,25,46,0.543,19,37,0.514,21,26,0.808,128
895,2021/1/23,CHI,,LAL,L 90-101,240,33,84,0.393,25,59,0.424,8,25,0.32,16,22,0.727,90,36,79,0.456,32,60,0.533,4,19,0.211,25,31,0.806,101
896,2021/1/23,LAL,@,CHI,W 101-90,240,36,79,0.456,32,60,0.533,4,19,0.211,25,31,0.806,101,33,84,0.393,25,59,0.424,8,25,0.32,16,22,0.727,90
897,2021/1/23,DAL,,HOU,L 108-133,240,37,83,0.446,32,58,0.552,5,25,0.2,29,40,0.725,108,47,86,0.547,31,49,0.633,16,37,0.432,23,29,0.793,133
898,2021/1/23,HOU,@,DAL,W 133-108,240,47,86,0.547,31,49,0.633,16,37,0.432,23,29,0.793,133,37,83,0.446,32,58,0.552,5,25,0.2,29,40,0.725,108
899,2021/1/23,DET,,PHI,L 110-114,240,37,86,0.43,23,53,0.434,14,33,0.424,22,30,0.733,110,38,83,0.458,30,60,0.5,8,23,0.348,30,38,0.789,114
900,2021/1/23,PHI,@,DET,W 114-110,240,38,83,0.458,30,60,0.5,8,23,0.348,30,38,0.789,114,37,86,0.43,23,53,0.434,14,33,0.424,22,30,0.733,110
