Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1001,2021/1/15,LAL,,NOP,W 112-95,240,39,93,0.419,24,56,0.429,15,37,0.405,19,26,0.731,112,41,86,0.477,32,57,0.561,9,29,0.31,4,8,0.5,95
1002,2021/1/15,NOP,@,LAL,L 95-112,240,41,86,0.477,32,57,0.561,9,29,0.31,4,8,0.5,95,39,93,0.419,24,56,0.429,15,37,0.405,19,26,0.731,112
1003,2021/1/15,DAL,@,MIL,L 109-112,240,45,97,0.464,32,61,0.525,13,36,0.361,6,13,0.462,109,43,96,0.448,29,59,0.492,14,37,0.378,12,25,0.48,112
1004,2021/1/15,MIL,,DAL,W 112-109,240,43,96,0.448,29,59,0.492,14,37,0.378,12,25,0.48,112,45,97,0.464,32,61,0.525,13,36,0.361,6,13,0.462,109
1005,2021/1/15,CHI,@,OKC,L 125-127 (OT),265,43,91,0.473,22,45,0.489,21,46,0.457,18,25,0.72,125,48,105,0.457,33,60,0.55,15,45,0.333,16,24,0.667,127
1006,2021/1/15,OKC,,CHI,W 127-125 (OT),265,48,105,0.457,33,60,0.55,15,45,0.333,16,24,0.667,127,43,91,0.473,22,45,0.489,21,46,0.457,18,25,0.72,125
1007,2021/1/15,LAC,@,SAC,W 138-100,240,52,89,0.584,34,54,0.63,18,35,0.514,16,20,0.8,138,40,85,0.471,32,59,0.542,8,26,0.308,12,17,0.706,100
1008,2021/1/15,SAC,,LAC,L 100-138,240,40,85,0.471,32,59,0.542,8,26,0.308,12,17,0.706,100,52,89,0.584,34,54,0.63,18,35,0.514,16,20,0.8,138
1009,2021/1/15,ATL,@,UTA,L 92-116,240,38,92,0.413,33,64,0.516,5,28,0.179,11,15,0.733,92,43,92,0.467,23,48,0.479,20,44,0.455,10,14,0.714,116
1010,2021/1/15,UTA,,ATL,W 116-92,240,43,92,0.467,23,48,0.479,20,44,0.455,10,14,0.714,116,38,92,0.413,33,64,0.516,5,28,0.179,11,15,0.733,92
1011,2021/1/14,DEN,,GSW,W 114-104,240,41,90,0.456,30,53,0.566,11,37,0.297,21,27,0.778,114,38,81,0.469,27,52,0.519,11,29,0.379,17,24,0.708,104
1012,2021/1/14,GSW,@,DEN,L 104-114,240,38,81,0.469,27,52,0.519,11,29,0.379,17,24,0.708,104,41,90,0.456,30,53,0.566,11,37,0.297,21,27,0.778,114
1013,2021/1/14,MIA,@,PHI,L 108-125,240,40,81,0.494,28,47,0.596,12,34,0.353,16,26,0.615,108,44,82,0.537,27,45,0.6,17,37,0.459,20,24,0.833,125
1014,2021/1/14,PHI,,MIA,W 125-108,240,44,82,0.537,27,45,0.6,17,37,0.459,20,24,0.833,125,40,81,0.494,28,47,0.596,12,34,0.353,16,26,0.615,108
1015,2021/1/14,IND,@,POR,W 111-87,240,44,92,0.478,35,62,0.565,9,30,0.3,14,18,0.778,111,32,87,0.368,19,44,0.432,13,43,0.302,10,10,1,87
1016,2021/1/14,POR,,IND,L 87-111,240,32,87,0.368,19,44,0.432,13,43,0.302,10,10,1,87,44,92,0.478,35,62,0.565,9,30,0.3,14,18,0.778,111
1017,2021/1/14,HOU,@,SAS,W 109-105,240,42,86,0.488,29,53,0.547,13,33,0.394,12,19,0.632,109,42,92,0.457,33,61,0.541,9,31,0.29,12,16,0.75,105
1018,2021/1/14,SAS,,HOU,L 105-109,240,42,92,0.457,33,61,0.541,9,31,0.29,12,16,0.75,105,42,86,0.488,29,53,0.547,13,33,0.394,12,19,0.632,109
1019,2021/1/14,CHO,@,TOR,L 108-111,240,42,87,0.483,27,52,0.519,15,35,0.429,9,12,0.75,108,40,88,0.455,20,38,0.526,20,50,0.4,11,13,0.846,111
1020,2021/1/14,TOR,,CHO,W 111-108,240,40,88,0.455,20,38,0.526,20,50,0.4,11,13,0.846,111,42,87,0.483,27,52,0.519,15,35,0.429,9,12,0.75,108
1021,2021/1/13,CHO,,DAL,L 93-104,240,38,100,0.38,28,62,0.452,10,38,0.263,7,14,0.5,93,40,96,0.417,25,50,0.5,15,46,0.326,9,16,0.563,104
1022,2021/1/13,DAL,@,CHO,W 104-93,240,40,96,0.417,25,50,0.5,15,46,0.326,9,16,0.563,104,38,100,0.38,28,62,0.452,10,38,0.263,7,14,0.5,93
1023,2021/1/13,DET,,MIL,L 101-110,240,36,92,0.391,22,57,0.386,14,35,0.4,15,22,0.682,101,41,85,0.482,22,42,0.524,19,43,0.442,9,14,0.643,110
1024,2021/1/13,MIL,@,DET,W 110-101,240,41,85,0.482,22,42,0.524,19,43,0.442,9,14,0.643,110,36,92,0.391,22,57,0.386,14,35,0.4,15,22,0.682,101
1025,2021/1/13,LAC,,NOP,W 111-106,240,35,74,0.473,17,37,0.459,18,37,0.486,23,27,0.852,111,42,88,0.477,32,60,0.533,10,28,0.357,12,16,0.75,106
1026,2021/1/13,NOP,@,LAC,L 106-111,240,42,88,0.477,32,60,0.533,10,28,0.357,12,16,0.75,106,35,74,0.473,17,37,0.459,18,37,0.486,23,27,0.852,111
1027,2021/1/13,MEM,@,MIN,W 118-107,240,50,106,0.472,42,81,0.519,8,25,0.32,10,13,0.769,118,39,90,0.433,30,53,0.566,9,37,0.243,20,24,0.833,107
1028,2021/1/13,MIN,,MEM,L 107-118,240,39,90,0.433,30,53,0.566,9,37,0.243,20,24,0.833,107,50,106,0.472,42,81,0.519,8,25,0.32,10,13,0.769,118
1029,2021/1/13,BRK,@,NYK,W 116-109,240,44,91,0.484,28,51,0.549,16,40,0.4,12,17,0.706,116,44,92,0.478,33,64,0.516,11,28,0.393,10,12,0.833,109
1030,2021/1/13,NYK,,BRK,L 109-116,240,44,92,0.478,33,64,0.516,11,28,0.393,10,12,0.833,109,44,91,0.484,28,51,0.549,16,40,0.4,12,17,0.706,116
1031,2021/1/13,LAL,@,OKC,W 128-99,240,47,95,0.495,30,58,0.517,17,37,0.459,17,22,0.773,128,37,86,0.43,27,55,0.491,10,31,0.323,15,19,0.789,99
