Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1601,2020/3/6,DAL,,MEM,W 121-96,240,45,95,0.474,27,48,0.563,18,47,0.383,13,17,0.765,121,39,84,0.464,30,54,0.556,9,30,0.3,9,13,0.692,96
1602,2020/3/6,MEM,@,DAL,L 96-121,240,39,84,0.464,30,54,0.556,9,30,0.3,9,13,0.692,96,45,95,0.474,27,48,0.563,18,47,0.383,13,17,0.765,121
1603,2020/3/6,LAL,,MIL,W 113-103,240,38,91,0.418,32,59,0.542,6,32,0.188,31,38,0.816,113,37,89,0.416,25,46,0.543,12,43,0.279,17,23,0.739,103
1604,2020/3/6,MIL,@,LAL,L 103-113,240,37,89,0.416,25,46,0.543,12,43,0.279,17,23,0.739,103,38,91,0.418,32,59,0.542,6,32,0.188,31,38,0.816,113
1605,2020/3/6,MIN,,ORL,L 118-132,240,46,98,0.469,36,61,0.59,10,37,0.27,16,20,0.8,118,51,84,0.607,44,63,0.698,7,21,0.333,23,31,0.742,132
1606,2020/3/6,ORL,@,MIN,W 132-118,240,51,84,0.607,44,63,0.698,7,21,0.333,23,31,0.742,132,46,98,0.469,36,61,0.59,10,37,0.27,16,20,0.8,118
1607,2020/3/6,MIA,@,NOP,L 104-110,240,37,86,0.43,28,53,0.528,9,33,0.273,21,31,0.677,104,38,91,0.418,24,53,0.453,14,38,0.368,20,28,0.714,110
1608,2020/3/6,NOP,,MIA,W 110-104,240,38,91,0.418,24,53,0.453,14,38,0.368,20,28,0.714,110,37,86,0.43,28,53,0.528,9,33,0.273,21,31,0.677,104
1609,2020/3/6,NYK,,OKC,L 103-126,240,41,91,0.451,37,67,0.552,4,24,0.167,17,22,0.773,103,47,96,0.49,35,65,0.538,12,31,0.387,20,25,0.8,126
1610,2020/3/6,OKC,@,NYK,W 126-103,240,47,96,0.49,35,65,0.538,12,31,0.387,20,25,0.8,126,41,91,0.451,37,67,0.552,4,24,0.167,17,22,0.773,103
1611,2020/3/6,PHO,,POR,W 127-117,240,45,91,0.495,26,49,0.531,19,42,0.452,18,19,0.947,127,43,87,0.494,30,55,0.545,13,32,0.406,18,24,0.75,117
1612,2020/3/6,POR,@,PHO,L 117-127,240,43,87,0.494,30,55,0.545,13,32,0.406,18,24,0.75,117,45,91,0.495,26,49,0.531,19,42,0.452,18,19,0.947,127
1613,2020/3/6,ATL,@,WAS,L 112-118,240,46,86,0.535,34,54,0.63,12,32,0.375,8,12,0.667,112,36,76,0.474,21,45,0.467,15,31,0.484,31,35,0.886,118
