Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1101,2021/1/8,BRK,@,MEM,L 110-115,240,38,81,0.469,24,50,0.48,14,31,0.452,20,21,0.952,110,45,98,0.459,32,66,0.485,13,32,0.406,12,14,0.857,115
1102,2021/1/8,MEM,,BRK,W 115-110,240,45,98,0.459,32,66,0.485,13,32,0.406,12,14,0.857,115,38,81,0.469,24,50,0.48,14,31,0.452,20,21,0.952,110
1103,2021/1/8,MIL,,UTA,L 118-131,240,44,98,0.449,31,56,0.554,13,42,0.31,17,21,0.81,118,49,97,0.505,24,44,0.545,25,53,0.472,8,13,0.615,131
1104,2021/1/8,UTA,@,MIL,W 131-118,240,49,97,0.505,24,44,0.545,25,53,0.472,8,13,0.615,131,44,98,0.449,31,56,0.554,13,42,0.31,17,21,0.81,118
1105,2021/1/8,CHO,@,NOP,W 118-110,240,41,87,0.471,25,45,0.556,16,42,0.381,20,25,0.8,118,38,77,0.494,23,39,0.59,15,38,0.395,19,26,0.731,110
1106,2021/1/8,NOP,,CHO,L 110-118,240,38,77,0.494,23,39,0.59,15,38,0.395,19,26,0.731,110,41,87,0.471,25,45,0.556,16,42,0.381,20,25,0.8,118
1107,2021/1/8,NYK,,OKC,L 89-101,240,34,96,0.354,25,69,0.362,9,27,0.333,12,20,0.6,89,38,87,0.437,27,53,0.509,11,34,0.324,14,21,0.667,101
1108,2021/1/8,OKC,@,NYK,W 101-89,240,38,87,0.437,27,53,0.509,11,34,0.324,14,21,0.667,101,34,96,0.354,25,69,0.362,9,27,0.333,12,20,0.6,89
1109,2021/1/8,SAC,,TOR,L 123-144,240,46,81,0.568,31,47,0.66,15,34,0.441,16,28,0.571,123,53,91,0.582,33,52,0.635,20,39,0.513,18,22,0.818,144
1110,2021/1/8,TOR,@,SAC,W 144-123,240,53,91,0.582,33,52,0.635,20,39,0.513,18,22,0.818,144,46,81,0.568,31,47,0.66,15,34,0.441,16,28,0.571,123
1111,2021/1/7,BRK,,PHI,W 122-109,240,44,97,0.454,29,60,0.483,15,37,0.405,19,29,0.655,122,41,87,0.471,32,61,0.525,9,26,0.346,18,20,0.9,109
1112,2021/1/7,PHI,@,BRK,L 109-122,240,41,87,0.471,32,61,0.525,9,26,0.346,18,20,0.9,109,44,97,0.454,29,60,0.483,15,37,0.405,19,29,0.655,122
1113,2021/1/7,DAL,@,DEN,W 124-117 (OT),265,42,87,0.483,26,47,0.553,16,40,0.4,24,31,0.774,124,43,97,0.443,28,53,0.528,15,44,0.341,16,21,0.762,117
1114,2021/1/7,DEN,,DAL,L 117-124 (OT),265,43,97,0.443,28,53,0.528,15,44,0.341,16,21,0.762,117,42,87,0.483,26,47,0.553,16,40,0.4,24,31,0.774,124
1115,2021/1/7,LAL,,SAS,L 109-118,240,43,86,0.5,33,56,0.589,10,30,0.333,13,21,0.619,109,43,92,0.467,27,57,0.474,16,35,0.457,16,17,0.941,118
1116,2021/1/7,SAS,@,LAL,W 118-109,240,43,92,0.467,27,57,0.474,16,35,0.457,16,17,0.941,118,43,86,0.5,33,56,0.589,10,30,0.333,13,21,0.619,109
1117,2021/1/7,CLE,@,MEM,W 94-90,240,36,79,0.456,23,49,0.469,13,30,0.433,9,16,0.563,94,36,83,0.434,25,52,0.481,11,31,0.355,7,8,0.875,90
